symbol,trend,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_reason,pnl
360ONE.NS,SELL,2025-02-25,14:15:00,1035.85,2025-03-06,15:15:00,961.72,TARGET,74.13
360ONE.NS,SELL,2025-02-24,15:15:00,1007.0,2025-03-12,11:15:00,845.27,TARGET,161.73
360ONE.NS,SELL,2025-09-22,15:15:00,1043.5,2025-10-07,09:15:00,1067.8,EXIT_EMA400,-24.3
360ONE.NS,BUY,2025-11-20,09:15:00,1126.2,2025-12-10,09:15:00,1112.0,EXIT_EMA400,-14.2
360ONE.NS,SELL,2026-02-26,11:15:00,1125.1,2026-02-27,09:15:00,1101.36,TARGET,23.74
360ONE.NS,SELL,2026-02-26,12:15:00,1124.2,2026-02-27,09:15:00,1097.89,TARGET,26.31
3MINDIA.NS,SELL,2024-09-27,10:15:00,35172.8,2024-10-22,12:15:00,33250.96,TARGET,1921.84
3MINDIA.NS,BUY,2025-05-09,15:15:00,29200.0,2025-05-12,09:15:00,29601.31,TARGET,401.31
3MINDIA.NS,BUY,2025-05-14,09:15:00,29455.0,2025-05-21,15:15:00,30544.59,TARGET,1089.59
3MINDIA.NS,BUY,2025-05-12,09:15:00,29610.0,2025-05-28,14:15:00,28850.0,EXIT_EMA400,-760.0
3MINDIA.NS,BUY,2025-05-15,13:15:00,29480.0,2025-05-28,14:15:00,28850.0,EXIT_EMA400,-630.0
3MINDIA.NS,BUY,2025-08-07,12:15:00,30595.0,2025-09-05,11:15:00,30185.0,EXIT_EMA400,-410.0
3MINDIA.NS,BUY,2025-08-28,12:15:00,30695.0,2025-09-05,11:15:00,30185.0,EXIT_EMA400,-510.0
3MINDIA.NS,SELL,2025-10-24,12:15:00,29575.0,2025-10-27,09:15:00,30055.0,EXIT_EMA400,-480.0
3MINDIA.NS,BUY,2025-12-08,09:15:00,34500.0,2026-01-09,14:15:00,34045.0,EXIT_EMA400,-455.0
3MINDIA.NS,BUY,2026-01-09,11:15:00,34920.0,2026-01-09,14:15:00,34045.0,EXIT_EMA400,-875.0
AADHARHFC.NS,SELL,2025-02-10,09:15:00,392.55,2025-03-06,13:15:00,398.25,EXIT_EMA400,-5.7
AADHARHFC.NS,BUY,2025-03-27,10:15:00,418.4,2025-04-03,11:15:00,453.91,TARGET,35.51
AADHARHFC.NS,BUY,2025-04-07,10:15:00,427.45,2025-04-16,11:15:00,473.72,TARGET,46.27
AADHARHFC.NS,BUY,2025-05-12,09:15:00,451.1,2025-05-20,12:15:00,441.6,EXIT_EMA400,-9.5
AADHARHFC.NS,BUY,2025-05-13,09:15:00,453.9,2025-05-20,12:15:00,441.6,EXIT_EMA400,-12.3
AADHARHFC.NS,SELL,2025-12-17,09:15:00,483.75,2026-01-02,09:15:00,499.8,EXIT_EMA400,-16.05
AARTIIND.NS,SELL,2025-01-14,12:15:00,405.3,2025-01-21,09:15:00,453.7,EXIT_EMA400,-48.4
AARTIIND.NS,BUY,2025-06-25,09:15:00,468.0,2025-07-08,10:15:00,456.55,EXIT_EMA400,-11.45
AARTIIND.NS,SELL,2025-07-30,14:15:00,445.3,2025-07-31,09:15:00,428.36,TARGET,16.94
AARTIIND.NS,BUY,2026-03-10,14:15:00,427.9,2026-03-19,13:15:00,414.35,EXIT_EMA400,-13.55
AARTIIND.NS,BUY,2026-03-16,11:15:00,424.35,2026-03-19,13:15:00,414.35,EXIT_EMA400,-10.0
AAVAS.NS,BUY,2024-10-01,09:15:00,1853.25,2024-10-04,12:15:00,1777.0,EXIT_EMA400,-76.25
AAVAS.NS,BUY,2024-10-04,09:15:00,1790.8,2024-10-04,12:15:00,1777.0,EXIT_EMA400,-13.8
AAVAS.NS,SELL,2024-11-29,15:15:00,1670.0,2025-01-02,10:15:00,1695.0,EXIT_EMA400,-25.0
AAVAS.NS,SELL,2024-12-13,09:15:00,1657.2,2025-01-02,10:15:00,1695.0,EXIT_EMA400,-37.8
AAVAS.NS,SELL,2024-12-19,12:15:00,1660.0,2025-01-02,10:15:00,1695.0,EXIT_EMA400,-35.0
AAVAS.NS,SELL,2024-12-20,09:15:00,1677.15,2025-01-02,10:15:00,1695.0,EXIT_EMA400,-17.85
AAVAS.NS,BUY,2025-03-11,12:15:00,1749.0,2025-03-17,15:15:00,1915.98,TARGET,166.98
AAVAS.NS,BUY,2025-03-10,09:15:00,1823.9,2025-04-22,10:15:00,2225.42,TARGET,401.52
AAVAS.NS,BUY,2025-04-07,15:15:00,2024.95,2025-05-02,09:15:00,1904.8,EXIT_EMA400,-120.15
AAVAS.NS,SELL,2025-06-02,09:15:00,1799.7,2025-06-06,12:15:00,1856.3,EXIT_EMA400,-56.6
AAVAS.NS,BUY,2025-07-08,09:15:00,1961.9,2025-07-18,11:15:00,1891.0,EXIT_EMA400,-70.9
AAVAS.NS,BUY,2025-07-08,11:15:00,1983.0,2025-07-18,11:15:00,1891.0,EXIT_EMA400,-92.0
AAVAS.NS,SELL,2025-10-07,12:15:00,1662.5,2025-10-15,12:15:00,1586.84,TARGET,75.66
