trade_num,entry_date,entry_time,exit_date,exit_time,symbol,qty,entry_price,exit_price,pnl_inr,pnl_pct,holding_bars,reason,cash_before,cash_after
1,2025-05-27,14:00,2025-06-11,09:15,ASIANPAINT,107,2329.6,2213.12,-12463.360000000002,-5.000000000000001,3,PARTIAL,184.05000000004657,236987.89000000004
2,2025-05-27,14:00,2025-06-18,14:15,ASIANPAINT,107,2329.6,2280.6,-5243.0,-2.1033653846153846,22,STOP,236987.89000000004,481012.09
3,2025-06-19,09:15,2025-06-20,09:15,BAJAJ-AUTO,56,8472.0,8327.0,-8120.0,-1.7115203021718601,5,STOP,6580.090000000026,472892.09
4,2025-06-20,11:45,2025-06-26,14:15,BRITANNIA,42,5550.0,5827.5,11655.0,5.0,3,PARTIAL,1142.0900000000256,245897.09000000003
5,2025-06-06,12:30,2025-07-02,11:15,HINDALCO,777,645.15,705.65,47008.5,9.377664109121909,36,TARGET,245897.09000000003,794187.1399999999
6,2025-07-04,09:30,2025-07-04,15:15,POWERGRID,2719,292.0,294.7,7341.299999999969,0.9246575342465714,1,STOP,239.13999999989755,801528.4399999998
7,2025-07-07,09:45,2025-07-08,09:15,NTPC,2371,337.95,341.55,8535.600000000053,1.0652463382157191,3,STOP,248.98999999987427,810064.0399999999
8,2025-07-10,13:15,2025-07-11,09:15,HCLTECH,486,1663.5,1647.1,-7970.400000000044,-0.9858731590021095,2,STOP,1603.0399999999208,802093.6399999999
9,2025-06-20,11:45,2025-07-21,09:15,BRITANNIA,43,5550.0,5708.0,6794.0,2.846846846846847,32,STOP,2245.6399999998976,247689.6399999999
10,2025-07-21,12:30,2025-07-25,09:15,POWERGRID,834,296.95,294.35,-2168.3999999999714,-0.875568277487781,16,STOP,33.339999999909196,245521.23999999993
11,2025-07-14,10:15,2025-07-31,09:15,HEROMOTOCO,189,4232.0,4218.0,-2646.0,-0.33081285444234404,42,STOP,4177.539999999921,801379.5399999999
12,2025-07-25,15:00,2025-07-31,09:15,HEROMOTOCO,57,4234.1,4218.0,-917.7000000000207,-0.3802460971635144,8,STOP,801379.5399999999,1041805.5399999999
13,2025-07-31,09:15,2025-07-31,10:15,NTPC,1541,337.95,339.4,2234.4499999999825,0.4290575528924364,3,STOP,5810.589999999967,528825.99
14,2025-07-31,09:30,2025-08-18,09:15,ULTRACEMCO,21,12267.0,12884.55,12968.549999999985,5.034238200048906,24,PARTIAL,1301.9899999999907,271877.54
15,2025-07-31,11:30,2025-08-18,09:15,ULTRACEMCO,21,12268.0,12884.55,12947.549999999985,5.025676556895984,21,PARTIAL,271877.54,542453.09
16,2025-07-31,09:30,2025-09-10,10:15,ULTRACEMCO,21,12267.0,12500.0,4893.0,1.8994049074753403,71,STOP,542453.09,804953.09
17,2025-07-31,11:30,2025-09-10,10:15,ULTRACEMCO,22,12268.0,12500.0,5104.0,1.8910987936093904,68,STOP,804953.09,1079953.0899999999
18,2025-09-11,12:30,2025-09-12,09:15,ADANIENT,232,2317.84,2342.86,5804.639999999996,1.079453284092085,1,STOP,542214.2099999998,1085757.73
19,2025-09-12,11:30,2025-09-17,10:15,BPCL,1698,319.7,323.8,6961.800000000038,1.2824522990303482,9,STOP,291.38000000000466,550103.78
20,2025-09-15,09:30,2025-09-17,10:15,BPCL,1697,319.75,323.8,6872.8500000000195,1.2666145426114188,8,STOP,550103.78,1099592.38
21,2025-09-19,13:45,2025-09-25,14:15,DIVISLAB,44,6203.5,5893.32,-13647.920000000013,-5.000080599661486,7,PARTIAL,45.80999999982305,259351.8899999998
22,2025-09-24,12:15,2025-09-26,09:15,HINDUNILVR,219,2528.03,2473.44,-11955.210000000032,-2.159388931302245,7,STOP,259351.8899999998,801035.2499999998
23,2025-09-29,09:15,2025-09-30,11:15,BAJAJ-AUTO,91,8774.0,8674.0,-9100.0,-1.139731023478459,10,STOP,2601.249999999767,791935.2499999998
24,2025-09-19,13:45,2025-10-07,11:15,DIVISLAB,44,6203.5,6026.0,-7810.0,-2.861287982590473,20,STOP,791935.2499999998,1057079.2499999998
25,2025-10-07,14:00,2025-10-08,10:15,NTPC,1559,338.9,334.35,-7093.449999999929,-1.342578931838287,1,STOP,528734.1499999998,1049985.7999999998
26,2025-10-08,12:15,2025-10-16,09:15,TITAN,148,3539.0,3636.3,14400.400000000027,2.7493642271828254,13,STOP,1354.3999999997905,539526.7999999998
27,2025-10-20,09:30,2025-11-19,13:15,ULTRACEMCO,22,12190.0,11645.1,-11987.799999999992,-4.470057424118127,47,PARTIAL,3166.7999999998137,259358.99999999983
28,2025-10-08,12:30,2025-11-28,13:15,ADANIPORTS,377,1392.2,1531.42,52485.94000000001,10.000000000000002,76,TARGET,259358.99999999983,836704.3399999999
29,2025-10-20,09:30,2025-12-01,15:15,ULTRACEMCO,22,12190.0,12013.0,-3894.0,-1.4520098441345366,68,STOP,23.189999999827705,264309.1899999998
30,2025-11-28,15:00,2025-12-03,09:15,BEL,2033,411.55,407.75,-7725.400000000023,-0.9233385979832368,8,STOP,1245.3899999998393,830201.1399999999
31,2025-12-03,09:15,2025-12-05,09:15,HINDUNILVR,175,2370.06,2300.71,-12136.249999999984,-2.926086259419589,4,PARTIAL,680.1399999998976,403304.3899999999
32,2025-12-03,09:15,2026-01-02,09:15,HINDUNILVR,175,2370.06,2335.2,-6100.500000000022,-1.4708488392698973,45,STOP,403304.3899999999,811964.3899999999
33,2026-01-02,11:45,2026-01-05,09:15,BEL,2018,402.25,415.65,27041.199999999953,3.33126165320074,2,STOP,223.88999999989755,839005.5899999999
34,2026-01-05,09:15,2026-01-07,10:15,JIOFIN,2792,300.5,304.3,10609.600000000031,1.2645590682196377,10,STOP,9.589999999850988,849615.1899999998
