trade_num,entry_date,entry_time,exit_date,exit_time,symbol,qty,entry_price,exit_price,pnl_inr,pnl_pct,holding_bars,reason,cash_before,cash_after
1,2025-07-04,09:15,2025-07-11,09:15,BPCL,1496,334.1,345.9,17652.79999999993,3.5318766836276425,1,STOP,500186.39999999997,1017652.7999999999
2,2025-08-06,09:15,2025-08-07,10:15,HINDUNILVR,203,2499.02,2477.97,-4273.150000000037,-0.8423301934358342,4,STOP,2413.259999999951,505441.1699999999
3,2025-08-06,11:15,2025-08-07,10:15,HINDUNILVR,203,2502.16,2477.97,-4910.570000000011,-0.9667647152859952,3,STOP,505441.1699999999,1008469.0799999998
4,2025-08-11,12:15,2025-08-11,15:15,SUNPHARMA,315,1596.4,1611.6,4787.999999999943,0.9521423202204846,1,STOP,505603.07999999984,1013257.0799999998
5,2026-01-13,12:00,2026-01-21,09:15,TRENT,63,3977.4,3778.53,-12528.809999999994,-4.9999999999999964,1,PARTIAL,508127.27999999985,746174.6699999999
6,2026-01-13,12:00,2026-01-22,09:15,TRENT,64,3977.4,3821.1,-10003.200000000012,-3.9297028209383056,2,STOP,746174.6699999999,990725.07
7,2026-02-10,12:15,2026-02-11,09:15,ADANIPORTS,317,1557.8,1544.7,-4152.699999999972,-0.8409295159840744,1,STOP,496902.47,986572.37
8,2026-02-11,11:45,2026-02-12,09:15,TCS,83,2948.0,2800.6,-12234.200000000008,-5.000000000000003,1,PARTIAL,494256.37,726706.1699999999
9,2026-02-11,11:45,2026-02-13,09:15,TCS,84,2948.0,2653.2,-24763.200000000015,-10.000000000000005,2,TARGET,726706.1699999999,949574.97
10,2026-03-11,10:30,2026-03-12,10:15,M&M,74,3206.3,3045.99,-11862.94000000003,-4.999844057012768,1,PARTIAL,475042.56999999995,700445.83
11,2026-03-11,10:30,2026-03-16,11:15,M&M,74,3206.3,2965.3,-17834.0,-7.516451985154227,2,STOP,700445.83,919878.03
12,2026-04-23,15:15,2026-04-28,15:15,TECHM,324,1416.9,1412.5,-1425.6000000000295,-0.31053708800904023,1,STOP,460802.43,918452.4299999999
13,2026-04-29,14:15,2026-04-30,12:15,INFY,393,1168.2,1184.5,6405.899999999982,1.3953090224276625,3,STOP,90.02999999991152,465598.5299999999
14,2026-04-29,14:45,2026-04-30,12:15,INFY,393,1168.6,1184.5,6248.700000000035,1.360602430258437,2,STOP,465598.5299999999,931107.0299999999
15,2026-05-04,13:15,2026-05-08,13:15,HCLTECH,390,1193.3,1199.4,2379.000000000053,0.5111874633369762,3,STOP,1098.4299999998766,468864.42999999993
16,2026-05-06,12:00,2026-05-08,13:15,HCLTECH,389,1194.4,1199.4,1945.0,0.4186202277294038,2,STOP,468864.42999999993,935431.03
