Case: /app/exports/backtests/multiyear_n50/nifty50_ema_200_400_2024_2025
Capital: INR 1,000,000

 Max   Taken    Skip         Final     ROI%   MaxDD%  OpenEnd
------------------------------------------------------------------------
   1      56     799     1,666,943   +66.69    16.89        1
   2     125     730     1,548,797   +54.88    13.06        2
   3     179     676     1,393,778   +39.38    18.07        3
   5     287     568     1,303,493   +30.35    16.09        4
   8     446     409     1,284,928   +28.49    10.18        6
  10     529     326     1,183,133   +18.31    11.51        8
  20     769      86     1,071,218    +7.12    10.83       10
  30     825      30     1,056,862    +5.69     8.29       10
  50     855       0     1,045,068    +4.51     5.16       10
