symbol,close,mcap_cr,weight
ACC,1903.25,16083.0,0.22
ABBOTINDIA,14983.3,7960.0,0.11
ADANIENT,1031.15,28352.0,0.38
ADANIGREEN,1104.85,43200.0,0.58
ADANIPORTS,702.4,51376.0,0.7
ADANITRANS,908.4,24977.0,0.34
ALKEM,2769.8,11591.0,0.16
AMBUJACEM,308.85,22691.0,0.31
APOLLOHOSP,2902.65,29215.0,0.4
ASIANPAINT,2537.4,114392.0,1.55
AUROPHARMA,881.3,24787.0,0.34
DMART,2859.05,42596.0,0.58
AXISBANK,697.45,175198.0,2.37
BAJAJ-AUTO,3670.6,47797.0,0.65
BAJFINANCE,5149.85,136542.0,1.85
BAJAJFINSV,9668.6,58468.0,0.79
BAJAJHLDNG,3293.05,16492.0,0.22
BANDHANBNK,338.9,22925.0,0.31
BERGEPAINT,765.0,18576.0,0.25
BPCL,427.95,39918.0,0.54
BHARTIARTL,517.3,125005.0,1.69
BIOCON,408.9,18155.0,0.25
BOSCHLTD,14088.4,12050.0,0.16
BRITANNIA,3625.05,42785.0,0.58
CADILAHC,440.9,11284.0,0.15
CIPLA,815.1,41413.0,0.56
COALINDIA,130.35,27313.0,0.37
COLPAL,1559.35,20782.0,0.28
DLF,287.05,17763.0,0.24
DABUR,540.5,30569.0,0.41
DIVISLAB,3622.8,46163.0,0.62
DRREDDY,4516.0,54824.0,0.74
EICHERMOT,2603.95,36299.0,0.49
GAIL,135.5,24445.0,0.33
GODREJCP,729.65,27604.0,0.37
GRASIM,1450.55,55355.0,0.75
HCLTECH,982.65,106663.0,1.44
HDFCAMC,2919.0,15540.0,0.21
HDFCBANK,1493.65,650499.0,8.8
HDFCLIFE,696.2,57686.0,0.78
HAVELLS,1050.4,26303.0,0.36
HEROMOTOCO,2913.6,37835.0,0.51
HINDALCO,326.85,47731.0,0.65
HINDPETRO,234.5,16529.0,0.22
HINDUNILVR,2431.5,217093.0,2.94
HDFC,2498.1,449960.0,6.09
ICICIBANK,582.1,402549.0,5.45
ICICIGI,1433.2,31273.0,0.42
ICICIPRULI,445.6,17276.0,0.23
ITC,218.5,190938.0,2.58
IOC,91.85,23347.0,0.32
IGL,512.35,17932.0,0.24
INDUSTOWER,245.0,19808.0,0.27
INDUSINDBK,954.45,53869.0,0.73
NAUKRI,4280.55,33076.0,0.45
INFY,1368.05,507013.0,6.86
INDIGO,1631.95,15702.0,0.21
JSWSTEEL,468.45,45294.0,0.61
JUBLFOOD,2910.95,22281.0,0.3
KOTAKBANK,1753.0,257060.0,3.48
LTI,4054.3,18415.0,0.25
LT,1418.9,171377.0,2.32
LUPIN,1020.45,24535.0,0.33
MRF,82259.45,17095.0,0.23
M&M,795.25,76126.0,1.03
MARICO,411.3,21245.0,0.29
MARUTI,6859.2,91169.0,1.23
MOTHERSUMI,201.45,24174.0,0.33
MUTHOOTFIN,1205.9,13062.0,0.18
NMDC,135.35,12693.0,0.17
NTPC,106.55,50626.0,0.69
NESTLEIND,17165.2,61235.0,0.83
ONGC,102.15,37267.0,0.5
PETRONET,224.65,16849.0,0.23
PIDILITIND,1809.4,27584.0,0.37
PEL,1753.15,20956.0,0.28
POWERGRID,215.65,55281.0,0.75
PGHH,12678.95,11935.0,0.16
PNB,36.65,8832.0,0.12
RELIANCE,2003.1,647625.0,8.77
SBICARD,928.25,13096.0,0.18
SBILIFE,880.85,34356.0,0.46
SHREECEM,29465.4,39336.0,0.53
SIEMENS,1844.0,16417.0,0.22
SBIN,364.3,139803.0,1.89
SUNPHARMA,597.8,64545.0,0.87
TCS,3177.85,329141.0,4.45
TATACONSUM,638.9,38271.0,0.52
TATAMOTORS,301.8,54112.0,0.73
TATASTEEL,811.85,61274.0,0.83
TECHM,991.45,61439.0,0.83
TITAN,1558.05,65011.0,0.88
TORNTPHARM,2545.05,12490.0,0.17
UPL,641.85,35309.0,0.48
ULTRACEMCO,6737.95,77794.0,1.05
UBL,1241.45,13786.0,0.19
MCDOWELL-N,556.35,16575.0,0.22
VEDL,228.75,38264.0,0.52
WIPRO,414.15,61268.0,0.83
YESBANK,15.6,19934.0,0.27
