symbol,close,mcap_cr,weight
ABB,1870.6,9910.0,0.09
POWERINDIA,2438.8,2584.0,0.02
ACC,2254.5,19051.0,0.17
AIAENG,1955.3,7746.0,0.07
APLAPOLLO,821.8,11290.0,0.1
AUBANK,1164.25,25518.0,0.22
AARTIDRUGS,607.3,1968.0,0.02
AARTIIND,929.85,18539.0,0.16
AAVAS,2560.0,9091.0,0.08
ABBOTINDIA,20517.8,10900.0,0.09
ADANIENT,1468.1,40366.0,0.35
ADANIGREEN,1146.6,46626.0,0.41
ADANIPORTS,737.9,54238.0,0.47
ATGL,1423.15,39130.0,0.34
ADANITRANS,1558.5,42851.0,0.37
ABCAPITAL,112.75,7900.0,0.07
ABFRL,246.35,8313.0,0.07
ADVENZYMES,388.55,1477.0,0.01
AEGISCHEM,227.6,2956.0,0.03
AFFLE,5344.45,5697.0,0.05
AJANTPHARM,2278.1,5914.0,0.05
ALEMBICLTD,115.2,858.0,0.01
APLLTD,789.1,4808.0,0.04
ALKEM,3980.75,18562.0,0.16
ALKYLAMINE,3825.55,5079.0,0.04
ALOKINDS,23.8,2954.0,0.03
AMARAJABAT,749.8,7428.0,0.06
AMBER,3263.7,5498.0,0.05
AMBUJACEM,400.2,29402.0,0.26
ANGELBRKG,1322.75,2621.0,0.02
ANURAS,803.95,1125.0,0.01
APOLLOHOSP,4481.6,45107.0,0.39
APOLLOTYRE,225.7,7454.0,0.06
ASAHIINDIA,362.7,4056.0,0.04
ASHOKLEY,133.8,19246.0,0.17
ASHOKA,98.45,1271.0,0.01
ASIANPAINT,3244.65,146276.0,1.27
ASTERDM,207.55,2177.0,0.02
ASTRAZEN,3089.6,1931.0,0.02
ASTRAL,2160.4,19099.0,0.17
ATUL,9462.55,15398.0,0.13
AUROPHARMA,724.8,20385.0,0.18
AVANTIFEED,539.15,2130.0,0.02
DMART,4250.2,63323.0,0.55
AXISBANK,766.55,197440.0,1.72
BASF,3427.75,4006.0,0.03
BEML,1433.5,2746.0,0.02
BSE,1231.25,5544.0,0.05
BAJAJ-AUTO,3832.65,49907.0,0.43
BAJAJCON,252.4,2309.0,0.02
BAJAJELEC,1305.65,5543.0,0.05
BAJFINANCE,7668.1,203651.0,1.77
BAJAJFINSV,17786.75,107560.0,0.94
BAJAJHLDNG,4808.6,24082.0,0.21
BALAMINES,4517.4,4537.0,0.04
BALKRISIND,2533.65,20572.0,0.18
BALRAMCHIN,366.5,4541.0,0.04
BANDHANBNK,283.0,19145.0,0.17
BANKBARODA,81.75,15219.0,0.13
BANKINDIA,55.5,4327.0,0.04
MAHABANK,20.05,1215.0,0.01
BATAINDIA,1778.15,10741.0,0.09
BAYERCROP,5298.05,6905.0,0.06
