symbol,close,mcap_cr,weight
ACC,2254.5,20057.0,1.54
ADANIENT,1468.1,42496.0,3.27
ADANIGREEN,1146.6,36312.0,2.8
ADANITRANS,1558.5,33372.0,2.57
AMBUJACEM,400.2,30954.0,2.38
APOLLOHOSP,4481.6,47487.0,3.66
AUROPHARMA,724.8,21461.0,1.65
DMART,4250.2,49315.0,3.8
BAJAJHLDNG,4808.6,18755.0,1.44
BANDHANBNK,283.0,20155.0,1.55
BANKBARODA,81.75,16022.0,1.23
BERGEPAINT,809.0,20681.0,1.59
BIOCON,362.7,17421.0,1.34
BOSCHLTD,15474.5,13934.0,1.07
CADILAHC,551.85,14869.0,1.14
CHOLAFIN,564.25,23399.0,1.8
COLPAL,1669.5,23424.0,1.8
DLF,417.2,27180.0,2.09
DABUR,617.05,37898.0,2.92
GAIL,158.85,30446.0,2.34
GLAND,3719.9,14274.0,1.1
GODREJCP,1029.9,41022.0,3.16
HDFCAMC,2908.6,16970.0,1.31
HAVELLS,1373.1,36214.0,2.79
HINDPETRO,300.0,20161.0,1.55
ICICIGI,1589.5,42681.0,3.29
ICICIPRULI,671.85,27439.0,2.11
IGL,533.1,19643.0,1.51
INDUSTOWER,308.7,26275.0,2.02
NAUKRI,6431.4,52318.0,4.03
INDIGO,2021.7,20494.0,1.58
JINDALSTEL,389.25,16721.0,1.29
JUBLFOOD,4040.9,32562.0,2.51
LTI,5765.15,27643.0,2.13
LUPIN,951.6,24107.0,1.86
MARICO,547.5,29787.0,2.29
MUTHOOTFIN,1450.3,16539.0,1.27
NMDC,143.0,17206.0,1.32
PIIND,3178.35,26906.0,2.07
PIDILITIND,2381.95,38228.0,2.94
PEL,2595.8,33263.0,2.56
PGHH,14073.8,10318.0,0.79
PNB,40.1,12551.0,0.97
SBICARD,1029.6,18112.0,1.39
SIEMENS,2129.4,19958.0,1.54
SAIL,113.65,17297.0,1.33
TORNTPHARM,3085.5,15941.0,1.23
MCDOWELL-N,853.1,26757.0,2.06
VEDL,287.65,39399.0,3.03
YESBANK,12.55,12489.0,0.96
