symbol,close,mcap_cr,weight
ADANIENT,1758.8,45677.0,0.45
ADANIPORTS,1312.6,96563.0,0.95
APOLLOHOSP,7419.0,76129.0,0.75
ASIANPAINT,2165.2,97624.0,0.96
AXISBANK,1161.3,332270.0,3.26
BAJAJ-AUTO,8781.5,97027.0,0.95
BAJFINANCE,801.55,213828.0,2.09
BAJAJFINSV,1631.8,93920.0,0.92
BEL,400.65,143099.0,1.4
BHARTIARTL,1782.4,545553.0,5.34
CIPLA,1224.2,68680.0,0.67
COALINDIA,450.45,101984.0,1.0
DRREDDY,1254.9,76257.0,0.75
EICHERMOT,6586.0,90381.0,0.89
ETERNAL,228.98,164480.0,1.61
GRASIM,2557.7,97100.0,0.95
HCLTECH,1341.6,141176.0,1.38
HDFCBANK,731.55,1116460.0,10.94
HDFCLIFE,590.6,63332.0,0.62
HINDALCO,884.45,127662.0,1.25
HINDUNILVR,2055.2,181870.0,1.78
ICICIBANK,1205.9,859705.0,8.42
ITC,287.7,276518.0,2.71
INFY,1250.6,437245.0,4.28
INDIGO,3943.5,88958.0,0.87
JSWSTEEL,1122.5,104949.0,1.03
JIOFIN,224.1,73289.0,0.72
KOTAKBANK,353.4,259445.0,2.54
LT,3504.1,410269.0,4.02
M&M,2954.7,263292.0,2.58
MARUTI,12306.0,161022.0,1.58
MAXHEALTH,962.3,71402.0,0.7
NTPC,370.65,175227.0,1.72
NESTLEIND,1174.8,83995.0,0.82
ONGC,284.65,110264.0,1.08
POWERGRID,296.1,133730.0,1.31
RELIANCE,1343.9,905173.0,8.87
SBILIFE,1777.3,79600.0,0.78
SHRIRAMFIN,872.1,121781.0,1.19
SBIN,979.4,405287.0,3.97
SUNPHARMA,1757.2,185532.0,1.82
TCS,2358.9,240211.0,2.35
TATACONSUM,1014.8,65892.0,0.65
TMPV,296.2,61861.0,0.61
TATASTEEL,191.86,158134.0,1.55
TECHM,1384.0,87617.0,0.86
TITAN,3951.4,162595.0,1.59
TRENT,3295.8,72923.0,0.71
ULTRACEMCO,10745.0,126888.0,1.24
WIPRO,187.64,53473.0,0.52
