symbol,close,mcap_cr,weight
ADANIENT,3135.85,73695.0,0.64
ADANIPORTS,1448.2,106603.0,0.92
APOLLOHOSP,7199.15,72788.0,0.63
ASIANPAINT,3329.1,150389.0,1.3
AXISBANK,1232.2,350705.0,3.03
BAJAJ-AUTO,12345.95,136766.0,1.18
BAJFINANCE,7703.0,215193.0,1.86
BAJAJFINSV,1973.4,107620.0,0.93
BEL,285.1,101831.0,0.88
BPCL,369.95,71510.0,0.62
BHARTIARTL,1709.55,457581.0,3.95
BRITANNIA,6338.15,74599.0,0.64
CIPLA,1654.1,90769.0,0.78
COALINDIA,510.15,115555.0,1.0
DRREDDY,6751.6,82224.0,0.71
EICHERMOT,5026.25,69036.0,0.6
GRASIM,2795.55,103868.0,0.9
HCLTECH,1796.1,189434.0,1.64
HDFCBANK,1732.05,1312016.0,11.34
HDFCLIFE,718.0,76518.0,0.66
HEROMOTOCO,5712.4,73941.0,0.64
HINDALCO,756.2,109881.0,0.95
HINDUNILVR,2958.3,263042.0,2.27
ICICIBANK,1273.0,895604.0,7.74
ITC,518.15,481317.0,4.16
INDUSINDBK,1447.6,95484.0,0.82
INFY,1875.6,674094.0,5.82
JSWSTEEL,1030.05,98654.0,0.85
KOTAKBANK,1853.95,271848.0,2.35
LT,3675.55,432085.0,3.73
M&M,3094.9,275377.0,2.38
MARUTI,13238.0,173976.0,1.5
NTPC,443.2,209584.0,1.81
NESTLEIND,2689.95,96229.0,0.83
ONGC,297.6,115291.0,1.0
POWERGRID,352.85,159626.0,1.38
RELIANCE,2953.15,1000011.0,8.64
SBILIFE,1844.0,82364.0,0.71
SHRIRAMFIN,3576.95,99830.0,0.86
SBIN,787.9,302711.0,2.62
SUNPHARMA,1926.7,207700.0,1.79
TCS,4268.5,435670.0,3.76
TATACONSUM,1196.95,77751.0,0.67
TATAMOTORS,974.65,206581.0,1.78
TATASTEEL,168.55,139484.0,1.21
TECHM,1577.2,99943.0,0.86
TITAN,3823.95,158000.0,1.37
TRENT,7574.65,168045.0,1.45
ULTRACEMCO,11802.0,134517.0,1.16
WIPRO,541.45,76447.0,0.66
