symbol,close,mcap_cr,weight
ABB,5546.25,29004.0,1.32
ADANIENSOL,872.0,31477.0,1.43
ADANIGREEN,948.65,28999.0,1.32
ADANIPOWER,509.3,39980.0,1.82
AMBUJACEM,538.35,35764.0,1.63
DMART,4083.2,59897.0,2.72
BAJAJHLDNG,12473.05,53854.0,2.45
BAJAJHFL,123.29,11438.0,0.52
BANKBARODA,228.53,42207.0,1.92
BPCL,278.47,53827.0,2.45
BOSCHLTD,28358.45,24525.0,1.11
BRITANNIA,4936.9,58069.0,2.64
CGPOWER,638.5,40784.0,1.85
CANBK,89.0,29922.0,1.36
CHOLAFIN,1519.95,63812.0,2.9
DLF,680.5,43539.0,1.98
DABUR,506.5,29788.0,1.35
DIVISLAB,5775.45,73126.0,3.32
GAIL,183.04,49240.0,2.24
GODREJCP,1159.25,55368.0,2.52
HAVELLS,1528.9,38468.0,1.75
HAL,4177.45,79162.0,3.6
HYUNDAI,1707.65,20659.0,0.94
ICICIGI,1792.85,42778.0,1.94
ICICIPRULI,564.35,22013.0,1.0
INDHOTEL,787.55,68973.0,3.14
IOC,127.7,47585.0,2.16
IRFC,124.42,22170.0,1.01
NAUKRI,7181.4,55586.0,2.53
INDIGO,5115.35,100086.0,4.55
JSWENERGY,537.9,28669.0,1.3
JINDALSTEL,912.3,34568.0,1.57
LTIM,4491.35,41367.0,1.88
LICI,799.4,17696.0,0.8
LODHA,1195.8,33322.0,1.51
PIDILITIND,2849.3,43739.0,1.99
PFC,414.25,60150.0,2.73
PNB,96.13,33054.0,1.5
RECLTD,429.2,53460.0,2.43
MOTHERSON,130.96,38507.0,1.75
SHREECEM,30502.95,40681.0,1.85
SIEMENS,5275.35,46520.0,2.11
SWIGGY,330.2,8849.0,0.4
TVSMOTOR,2419.85,56680.0,2.58
TATAPOWER,375.4,62862.0,2.86
TORNTPHARM,3227.95,33668.0,1.53
UNITDSPR,1401.3,41268.0,1.88
VBL,539.65,72196.0,3.28
VEDL,463.4,78419.0,3.56
ZYDUSLIFE,886.4,22079.0,1.0
