symbol,close,mcap_cr,weight
ABB,8055.0,55918.0,2.05
ADANIENSOL,1009.65,11450.0,0.42
ADANIGREEN,1902.7,21261.0,0.78
ADANIPOWER,656.15,17765.0,0.65
ATGL,786.5,6753.0,0.25
AMBUJACEM,632.55,50567.0,1.86
DMART,5096.3,23368.0,0.86
BAJAJHLDNG,10494.7,14071.0,0.52
BANKBARODA,247.8,61196.0,2.25
BHEL,279.7,47595.0,1.75
BOSCHLTD,37678.9,43271.0,1.59
CANBK,111.33,49689.0,1.82
CHOLAFIN,1608.0,88847.0,3.26
DLF,895.15,76044.0,2.79
DABUR,625.2,48889.0,1.8
DIVISLAB,5443.35,91606.0,3.36
GAIL,240.29,86031.0,3.16
GODREJCP,1393.4,69515.0,2.55
HAVELLS,2012.9,67476.0,2.48
HAL,4420.65,111308.0,4.09
ICICIGI,2174.4,68566.0,2.52
ICICIPRULI,780.15,40117.0,1.47
IOC,180.15,89470.0,3.29
IRCTC,928.55,37082.0,1.36
IRFC,158.72,8783.0,0.32
NAUKRI,8100.7,83717.0,3.07
INDIGO,4787.45,109729.0,4.03
JSWENERGY,733.05,12117.0,0.44
JINDALSTEL,1039.65,52289.0,1.92
JIOFIN,350.6,35663.0,1.31
LTIM,6244.35,76508.0,2.81
LICI,1006.95,6922.0,0.25
LODHA,1234.4,10632.0,0.39
NHPC,94.95,9261.0,0.34
PIDILITIND,3359.4,68119.0,2.5
PFC,488.05,94078.0,3.45
PNB,107.21,42078.0,1.55
RECLTD,554.5,91692.0,3.37
MOTHERSON,211.39,78207.0,2.87
SHREECEM,26308.9,46894.0,1.72
SIEMENS,7250.0,84870.0,3.12
TVSMOTOR,2839.85,88432.0,3.25
TATAPOWER,482.6,108003.0,3.97
TORNTPHARM,3396.55,41570.0,1.53
UNIONBANK,122.77,7346.0,0.27
UNITDSPR,1589.9,62163.0,2.28
VBL,606.3,22683.0,0.83
VEDL,512.65,115198.0,4.23
ZOMATO,273.3,52788.0,1.94
ZYDUSLIFE,1068.55,35405.0,1.3
