trade_idx,entry_date,exit_date,expiry,spot_at_entry,lot_size,lots,qty_per_leg,exit_reason,phase,leg,action,strike,price,qty,value_inr,margin_required_inr
0,2023-05-17,2023-05-25,2023-05-25,43698.7,15,1,15,EXPIRY,ENTRY,ce_short,SELL,44400,99.99,15,-1499.85,43110.6
0,2023-05-17,2023-05-25,2023-05-25,43698.7,15,1,15,EXPIRY,ENTRY,pe_short,SELL,43000,117.71,15,-1765.65,43110.6
0,2023-05-17,2023-05-25,2023-05-25,43698.7,15,1,15,EXPIRY,ENTRY,wce_long,BUY,44900,36.31,15,544.65,43110.6
0,2023-05-17,2023-05-25,2023-05-25,43698.7,15,1,15,EXPIRY,ENTRY,wpe_long,BUY,42500,61.25,15,918.75,43110.6
0,2023-05-17,2023-05-25,2023-05-25,43698.7,15,1,15,EXPIRY,EXIT,ce_short,BUY,44400,0.0,15,0.0,43110.6
0,2023-05-17,2023-05-25,2023-05-25,43698.7,15,1,15,EXPIRY,EXIT,pe_short,BUY,43000,0.0,15,0.0,43110.6
0,2023-05-17,2023-05-25,2023-05-25,43698.7,15,1,15,EXPIRY,EXIT,wce_long,SELL,44900,0.0,15,-0.0,43110.6
0,2023-05-17,2023-05-25,2023-05-25,43698.7,15,1,15,EXPIRY,EXIT,wpe_long,SELL,42500,0.0,15,-0.0,43110.6
1,2023-05-31,2023-06-29,2023-06-29,44128.1,15,1,15,EXPIRY,ENTRY,ce_short,SELL,44800,355.56,15,-5333.4,38703.3
1,2023-05-31,2023-06-29,2023-06-29,44128.1,15,1,15,EXPIRY,ENTRY,pe_short,SELL,43500,326.11,15,-4891.65,38703.3
1,2023-05-31,2023-06-29,2023-06-29,44128.1,15,1,15,EXPIRY,ENTRY,wce_long,BUY,45300,208.34,15,3125.1,38703.3
1,2023-05-31,2023-06-29,2023-06-29,44128.1,15,1,15,EXPIRY,ENTRY,wpe_long,BUY,43000,213.64,15,3204.6,38703.3
1,2023-05-31,2023-06-29,2023-06-29,44128.1,15,1,15,EXPIRY,EXIT,ce_short,BUY,44800,0.0,15,0.0,38703.3
1,2023-05-31,2023-06-29,2023-06-29,44128.1,15,1,15,EXPIRY,EXIT,pe_short,BUY,43500,0.0,15,0.0,38703.3
1,2023-05-31,2023-06-29,2023-06-29,44128.1,15,1,15,EXPIRY,EXIT,wce_long,SELL,45300,0.0,15,-0.0,38703.3
1,2023-05-31,2023-06-29,2023-06-29,44128.1,15,1,15,EXPIRY,EXIT,wpe_long,SELL,43000,0.0,15,-0.0,38703.3
2,2023-07-05,2023-07-27,2023-07-27,45151.8,15,1,15,EXPIRY,ENTRY,ce_short,SELL,45800,310.46,15,-4656.9,40609.35
2,2023-07-05,2023-07-27,2023-07-27,45151.8,15,1,15,EXPIRY,ENTRY,pe_short,SELL,44500,294.08,15,-4411.2,40609.35
2,2023-07-05,2023-07-27,2023-07-27,45151.8,15,1,15,EXPIRY,ENTRY,wce_long,BUY,46300,175.13,15,2626.95,40609.35
2,2023-07-05,2023-07-27,2023-07-27,45151.8,15,1,15,EXPIRY,ENTRY,wpe_long,BUY,44000,187.78,15,2816.7,40609.35
2,2023-07-05,2023-07-27,2023-07-27,45151.8,15,1,15,EXPIRY,EXIT,ce_short,BUY,45800,0.0,15,0.0,40609.35
2,2023-07-05,2023-07-27,2023-07-27,45151.8,15,1,15,EXPIRY,EXIT,pe_short,BUY,44500,0.0,15,0.0,40609.35
2,2023-07-05,2023-07-27,2023-07-27,45151.8,15,1,15,EXPIRY,EXIT,wce_long,SELL,46300,0.0,15,-0.0,40609.35
2,2023-07-05,2023-07-27,2023-07-27,45151.8,15,1,15,EXPIRY,EXIT,wpe_long,SELL,44000,0.0,15,-0.0,40609.35
3,2023-08-02,2023-08-31,2023-08-31,44995.7,15,1,15,EXPIRY,ENTRY,ce_short,SELL,45700,352.04,15,-5280.6,39832.05
3,2023-08-02,2023-08-31,2023-08-31,44995.7,15,1,15,EXPIRY,ENTRY,pe_short,SELL,44300,298.63,15,-4479.45,39832.05
3,2023-08-02,2023-08-31,2023-08-31,44995.7,15,1,15,EXPIRY,ENTRY,wce_long,BUY,46200,211.04,15,3165.6,39832.05
3,2023-08-02,2023-08-31,2023-08-31,44995.7,15,1,15,EXPIRY,ENTRY,wpe_long,BUY,43800,193.49,15,2902.35,39832.05
3,2023-08-02,2023-08-31,2023-08-31,44995.7,15,1,15,EXPIRY,EXIT,ce_short,BUY,45700,0.0,15,0.0,39832.05
3,2023-08-02,2023-08-31,2023-08-31,44995.7,15,1,15,EXPIRY,EXIT,pe_short,BUY,44300,310.9,15,4663.5,39832.05
3,2023-08-02,2023-08-31,2023-08-31,44995.7,15,1,15,EXPIRY,EXIT,wce_long,SELL,46200,0.0,15,-0.0,39832.05
3,2023-08-02,2023-08-31,2023-08-31,44995.7,15,1,15,EXPIRY,EXIT,wpe_long,SELL,43800,0.0,15,-0.0,39832.05
4,2023-09-06,2023-09-28,2023-09-28,44409.1,15,1,15,EXPIRY,ENTRY,ce_short,SELL,45100,273.19,15,-4097.85,41700.15
4,2023-09-06,2023-09-28,2023-09-28,44409.1,15,1,15,EXPIRY,ENTRY,pe_short,SELL,43700,166.52,15,-2497.8,41700.15
4,2023-09-06,2023-09-28,2023-09-28,44409.1,15,1,15,EXPIRY,ENTRY,wce_long,BUY,45600,136.63,15,2049.45,41700.15
4,2023-09-06,2023-09-28,2023-09-28,44409.1,15,1,15,EXPIRY,ENTRY,wpe_long,BUY,43200,102.56,15,1538.4,41700.15
4,2023-09-06,2023-09-28,2023-09-28,44409.1,15,1,15,EXPIRY,EXIT,ce_short,BUY,45100,0.0,15,0.0,41700.15
4,2023-09-06,2023-09-28,2023-09-28,44409.1,15,1,15,EXPIRY,EXIT,pe_short,BUY,43700,0.0,15,0.0,41700.15
4,2023-09-06,2023-09-28,2023-09-28,44409.1,15,1,15,EXPIRY,EXIT,wce_long,SELL,45600,0.0,15,-0.0,41700.15
4,2023-09-06,2023-09-28,2023-09-28,44409.1,15,1,15,EXPIRY,EXIT,wpe_long,SELL,43200,0.0,15,-0.0,41700.15
5,2023-10-04,2023-10-26,2023-10-26,43964.1,15,1,15,EXPIRY,ENTRY,ce_short,SELL,44600,352.98,15,-5294.7,39827.4
5,2023-10-04,2023-10-26,2023-10-26,43964.1,15,1,15,EXPIRY,ENTRY,pe_short,SELL,43300,217.7,15,-3265.5,39827.4
5,2023-10-04,2023-10-26,2023-10-26,43964.1,15,1,15,EXPIRY,ENTRY,wce_long,BUY,45100,200.02,15,3000.3,39827.4
5,2023-10-04,2023-10-26,2023-10-26,43964.1,15,1,15,EXPIRY,ENTRY,wpe_long,BUY,42800,133.42,15,2001.3,39827.4
5,2023-10-04,2023-10-26,2023-10-26,43964.1,15,1,15,EXPIRY,EXIT,ce_short,BUY,44600,0.0,15,0.0,39827.4
5,2023-10-04,2023-10-26,2023-10-26,43964.1,15,1,15,EXPIRY,EXIT,pe_short,BUY,43300,1019.9,15,15298.5,39827.4
5,2023-10-04,2023-10-26,2023-10-26,43964.1,15,1,15,EXPIRY,EXIT,wce_long,SELL,45100,0.0,15,-0.0,39827.4
5,2023-10-04,2023-10-26,2023-10-26,43964.1,15,1,15,EXPIRY,EXIT,wpe_long,SELL,42800,519.9,15,-7798.5,39827.4
6,2023-11-01,2023-11-30,2023-11-30,42700.9,15,1,15,EXPIRY,ENTRY,ce_short,SELL,43300,416.79,15,-6251.85,36848.85
6,2023-11-01,2023-11-30,2023-11-30,42700.9,15,1,15,EXPIRY,ENTRY,pe_short,SELL,42100,297.2,15,-4458.0,36848.85
6,2023-11-01,2023-11-30,2023-11-30,42700.9,15,1,15,EXPIRY,ENTRY,wce_long,BUY,43800,248.88,15,3733.2,36848.85
6,2023-11-01,2023-11-30,2023-11-30,42700.9,15,1,15,EXPIRY,ENTRY,wpe_long,BUY,41600,198.13,15,2971.95,36848.85
6,2023-11-01,2023-11-30,2023-11-30,42700.9,15,1,15,EXPIRY,EXIT,ce_short,BUY,43300,1181.8,15,17727.0,36848.85
6,2023-11-01,2023-11-30,2023-11-30,42700.9,15,1,15,EXPIRY,EXIT,pe_short,BUY,42100,0.0,15,0.0,36848.85
6,2023-11-01,2023-11-30,2023-11-30,42700.9,15,1,15,EXPIRY,EXIT,wce_long,SELL,43800,681.8,15,-10227.0,36848.85
6,2023-11-01,2023-11-30,2023-11-30,42700.9,15,1,15,EXPIRY,EXIT,wpe_long,SELL,41600,0.0,15,-0.0,36848.85
7,2023-12-06,2023-12-28,2023-12-28,46834.6,15,1,15,EXPIRY,ENTRY,ce_short,SELL,47500,367.64,15,-5514.6,41530.2
7,2023-12-06,2023-12-28,2023-12-28,46834.6,15,1,15,EXPIRY,ENTRY,pe_short,SELL,46100,277.94,15,-4169.1,41530.2
7,2023-12-06,2023-12-28,2023-12-28,46834.6,15,1,15,EXPIRY,ENTRY,wce_long,BUY,48000,237.97,15,3569.55,41530.2
7,2023-12-06,2023-12-28,2023-12-28,46834.6,15,1,15,EXPIRY,ENTRY,wpe_long,BUY,45600,175.75,15,2636.25,41530.2
7,2023-12-06,2023-12-28,2023-12-28,46834.6,15,1,15,EXPIRY,EXIT,ce_short,BUY,47500,1008.6,15,15129.0,41530.2
