trade_idx,entry_date,exit_date,expiry,spot_at_entry,lot_size,lots,qty_per_leg,exit_reason,phase,leg,action,strike,price,qty,value_inr,margin_required_inr
0,2023-05-29,2023-05-30,2023-05-30,19532.7,40,1,40,EXPIRY,ENTRY,ce_short,SELL,19900,1.08,40,-43.2,53003.6
0,2023-05-29,2023-05-30,2023-05-30,19532.7,40,1,40,EXPIRY,ENTRY,pe_short,SELL,19150,2.35,40,-94.0,53003.6
0,2023-05-29,2023-05-30,2023-05-30,19532.7,40,1,40,EXPIRY,ENTRY,wce_long,BUY,20050,0.77,40,30.8,53003.6
0,2023-05-29,2023-05-30,2023-05-30,19532.7,40,1,40,EXPIRY,ENTRY,wpe_long,BUY,19000,1.84,40,73.6,53003.6
0,2023-05-29,2023-05-30,2023-05-30,19532.7,40,1,40,EXPIRY,EXIT,ce_short,BUY,19900,0.0,40,0.0,53003.6
0,2023-05-29,2023-05-30,2023-05-30,19532.7,40,1,40,EXPIRY,EXIT,pe_short,BUY,19150,0.0,40,0.0,53003.6
0,2023-05-29,2023-05-30,2023-05-30,19532.7,40,1,40,EXPIRY,EXIT,wce_long,SELL,20050,0.0,40,-0.0,53003.6
0,2023-05-29,2023-05-30,2023-05-30,19532.7,40,1,40,EXPIRY,EXIT,wpe_long,SELL,19000,0.0,40,-0.0,53003.6
1,2023-06-12,2023-06-27,2023-06-27,19399.8,40,1,40,EXPIRY,ENTRY,ce_short,SELL,19800,523.56,40,-20942.4,36640.0
1,2023-06-12,2023-06-27,2023-06-27,19399.8,40,1,40,EXPIRY,ENTRY,pe_short,SELL,19000,39.3,40,-1572.0,36640.0
1,2023-06-12,2023-06-27,2023-06-27,19399.8,40,1,40,EXPIRY,ENTRY,wce_long,BUY,19950,243.37,40,9734.8,36640.0
1,2023-06-12,2023-06-27,2023-06-27,19399.8,40,1,40,EXPIRY,ENTRY,wpe_long,BUY,18850,159.83,40,6393.2,36640.0
1,2023-06-12,2023-06-27,2023-06-27,19399.8,40,1,40,EXPIRY,EXIT,ce_short,BUY,19800,0.0,40,0.0,36640.0
1,2023-06-12,2023-06-27,2023-06-27,19399.8,40,1,40,EXPIRY,EXIT,pe_short,BUY,19000,0.0,40,0.0,36640.0
1,2023-06-12,2023-06-27,2023-06-27,19399.8,40,1,40,EXPIRY,EXIT,wce_long,SELL,19950,0.0,40,-0.0,36640.0
1,2023-06-12,2023-06-27,2023-06-27,19399.8,40,1,40,EXPIRY,EXIT,wpe_long,SELL,18850,0.0,40,-0.0,36640.0
2,2023-07-03,2023-07-25,2023-07-25,20253.8,40,1,40,EXPIRY,ENTRY,ce_short,SELL,20650,183.85,40,-7354.0,37872.8
2,2023-07-03,2023-07-25,2023-07-25,20253.8,40,1,40,EXPIRY,ENTRY,pe_short,SELL,19850,429.14,40,-17165.6,37872.8
2,2023-07-03,2023-07-25,2023-07-25,20253.8,40,1,40,EXPIRY,ENTRY,wce_long,BUY,20800,349.55,40,13982.0,37872.8
2,2023-07-03,2023-07-25,2023-07-25,20253.8,40,1,40,EXPIRY,ENTRY,wpe_long,BUY,19700,80.63,40,3225.2,37872.8
2,2023-07-03,2023-07-25,2023-07-25,20253.8,40,1,40,EXPIRY,EXIT,ce_short,BUY,20650,0.0,40,0.0,37872.8
2,2023-07-03,2023-07-25,2023-07-25,20253.8,40,1,40,EXPIRY,EXIT,pe_short,BUY,19850,0.0,40,0.0,37872.8
2,2023-07-03,2023-07-25,2023-07-25,20253.8,40,1,40,EXPIRY,EXIT,wce_long,SELL,20800,0.0,40,-0.0,37872.8
2,2023-07-03,2023-07-25,2023-07-25,20253.8,40,1,40,EXPIRY,EXIT,wpe_long,SELL,19700,0.0,40,-0.0,37872.8
3,2023-08-14,2023-08-29,2023-08-29,19652.5,40,1,40,EXPIRY,ENTRY,ce_short,SELL,20050,68.6,40,-2744.0,47715.6
3,2023-08-14,2023-08-29,2023-08-29,19652.5,40,1,40,EXPIRY,ENTRY,pe_short,SELL,19250,89.62,40,-3584.8,47715.6
3,2023-08-14,2023-08-29,2023-08-29,19652.5,40,1,40,EXPIRY,ENTRY,wce_long,BUY,20200,36.11,40,1444.4,47715.6
3,2023-08-14,2023-08-29,2023-08-29,19652.5,40,1,40,EXPIRY,ENTRY,wpe_long,BUY,19100,107.2,40,4288.0,47715.6
3,2023-08-14,2023-08-29,2023-08-29,19652.5,40,1,40,EXPIRY,EXIT,ce_short,BUY,20050,0.0,40,0.0,47715.6
3,2023-08-14,2023-08-29,2023-08-29,19652.5,40,1,40,EXPIRY,EXIT,pe_short,BUY,19250,0.0,40,0.0,47715.6
3,2023-08-14,2023-08-29,2023-08-29,19652.5,40,1,40,EXPIRY,EXIT,wce_long,SELL,20200,0.0,40,-0.0,47715.6
3,2023-08-14,2023-08-29,2023-08-29,19652.5,40,1,40,EXPIRY,EXIT,wpe_long,SELL,19100,0.0,40,-0.0,47715.6
