entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,exit_reason,month,year,running_pnl,equity,roi_pct,peak,drawdown_pct,margin_required_inr,margin_pct_of_capital
2023-05-29,2023-05-30,2023-05-30,19532.7,19900,19150,20050,19000,1.08,2.35,0.77,1.84,0.0,0.0,0.0,0.0,0.83,0.0,0.83,40,1,33.2,149.171,5966.84,EXPIRY,2023-05,2023,33.2,200033.2,0.0166,200033.2,0.0,53003.6,26.5
2023-06-12,2023-06-27,2023-06-27,19399.8,19800,19000,19950,18850,523.56,39.3,243.37,159.83,0.0,0.0,0.0,0.0,159.66,0.0,159.66,40,1,6386.4,-9.656999999999924,-386.28,EXPIRY,2023-06,2023,6419.6,206419.6,3.2098,206419.6,0.0,36640.0,18.3
2023-07-03,2023-07-25,2023-07-25,20253.8,20650,19850,20800,19700,183.85,429.14,349.55,80.63,0.0,0.0,0.0,0.0,182.81,0.0,182.81,40,1,7312.4,-32.805000000000064,-1312.2,EXPIRY,2023-07,2023,13732.0,213732.0,6.866,213732.0,0.0,37872.8,18.9
2023-08-14,2023-08-29,2023-08-29,19652.5,20050,19250,20200,19100,68.6,89.62,36.11,107.2,0.0,0.0,0.0,0.0,14.91,0.0,14.91,40,1,596.4,135.089,5403.56,EXPIRY,2023-08,2023,14328.4,214328.4,7.1642,214328.4,0.0,47715.6,23.9
2023-09-04,2023-09-26,2023-09-26,19787.6,20200,19400,20350,19250,789.24,490.64,254.75,177.17,0.0,0.0,0.0,0.0,847.96,0.0,847.96,40,1,33918.4,-697.9610000000001,-27918.44,EXPIRY,2023-09,2023,48246.8,248246.8,24.1234,248246.8,0.0,36579.2,18.3
2023-10-16,2023-10-31,2023-10-31,19814.5,20200,19400,20350,19250,1233.43,57.33,251.48,202.72,0.0,195.4,0.0,45.4,836.55,153.0,683.55,40,1,27342.0,-686.5519999999998,-27462.08,EXPIRY,2023-10,2023,75588.8,275588.8,37.7944,275588.8,0.0,35688.0,17.8
2023-11-06,2023-11-13,2023-11-28,19537.6,19950,19150,20100,19000,149.89,315.95,58.85,322.63,53.3,322.4,57.7,50.0,84.36,273.36,-189.0,40,1,-7560.0,65.63700000000006,2625.48,SL,2023-11,2023,68028.8,268028.8,34.0144,275588.8,-2.7432,37916.8,19.0
2023-12-11,2023-12-26,2023-12-26,21214.7,21650,20800,21800,20650,15.63,1103.92,75.48,969.56,0.0,0.0,0.0,0.0,74.51,0.0,74.51,40,1,2980.4,75.4889999999998,3019.56,EXPIRY,2023-12,2023,71009.2,271009.2,35.5046,275588.8,-1.6618,15930.4,8.0
2024-01-29,2024-01-30,2024-01-30,20413.3,20800,20000,20950,19850,4.7,5.88,1.43,2.5,0.0,0.0,0.0,0.0,6.66,0.0,6.66,40,1,266.4,143.343,5733.72,EXPIRY,2024-01,2024,71275.6,271275.6,35.6378,275588.8,-1.5651,55330.8,27.7
2024-02-05,2024-02-27,2024-02-27,20315.8,20700,19900,20850,19750,224.42,618.62,241.18,171.82,0.0,0.0,0.0,0.0,430.05,0.0,430.05,40,1,17202.0,-280.047,-11201.88,EXPIRY,2024-02,2024,88477.6,288477.6,44.2388,288477.6,0.0,38696.0,19.3
