month,trades,wins,pnl_total,wr_pct,roi_pct,cum_pnl,cum_equity
2023-05,1,1,165.8,100.0,0.08,165.8,200165.8
2023-06,1,1,31931.4,100.0,15.97,32097.2,232097.2
2023-07,1,1,36561.0,100.0,18.28,68658.2,268658.2
2023-08,1,1,2982.2,100.0,1.49,71640.4,271640.4
2023-09,1,1,169592.2,100.0,84.8,241232.6,441232.6
2023-10,1,1,136710.4,100.0,68.36,377943.0,577943.0
2023-11,1,0,-37799.4,0.0,-18.9,340143.6,540143.6
2023-12,1,1,14902.2,100.0,7.45,355045.8,555045.8
2024-01,1,1,1331.4,100.0,0.67,356377.2,556377.2
2024-02,1,1,86009.4,100.0,43.0,442386.6,642386.6
2024-03,1,0,-23447.2,0.0,-11.72,418939.39999999997,618939.3999999999
2024-04,1,1,43190.6,100.0,21.6,462129.99999999994,662130.0
2024-05,1,1,167668.8,100.0,83.83,629798.7999999999,829798.7999999999
2024-06,1,1,203597.0,100.0,101.8,833395.7999999999,1033395.7999999999
2024-07,1,1,51174.6,100.0,25.59,884570.3999999999,1084570.4
2024-08,1,1,92657.6,100.0,46.33,977227.9999999999,1177228.0
2024-09,2,2,141738.02,100.0,70.87,1118966.0199999998,1318966.0199999998
2024-11,1,0,-266185.08,0.0,-133.09,852780.9399999997,1052780.9399999997
2024-12,1,0,-7016.1,0.0,-3.51,845764.8399999997,1045764.8399999997
2025-01,1,1,9536.15,100.0,4.77,855300.9899999998,1055300.9899999998
2025-02,1,1,22194.58,100.0,11.1,877495.5699999997,1077495.5699999998
2025-03,1,0,-35883.25,0.0,-17.94,841612.3199999997,1041612.3199999997
2025-04,2,1,-123746.99999999999,50.0,-61.87,717865.3199999997,917865.3199999997
2025-06,2,1,30792.13,50.0,15.4,748657.4499999997,948657.4499999997
2025-08,1,1,70064.15,100.0,35.03,818721.5999999997,1018721.5999999997
2025-09,1,1,45326.12,100.0,22.66,864047.7199999997,1064047.7199999997
2025-10,1,1,233681.17,100.0,116.84,1097728.8899999997,1297728.8899999997
2025-11,1,1,43941.95,100.0,21.97,1141670.8399999996,1341670.8399999996
2025-12,1,1,138771.43,100.0,69.39,1280442.2699999996,1480442.2699999996
2026-01,1,1,17874.6,100.0,8.94,1298316.8699999996,1498316.8699999996
2026-02,1,0,-104544.9,0.0,-52.27,1193771.9699999997,1393771.9699999997
2026-04,1,1,458732.1,100.0,229.37,1652504.0699999998,1852504.0699999998
2026-05,1,1,53648.7,100.0,26.82,1706152.7699999998,1906152.7699999998
