trade_idx,entry_date,exit_date,expiry,spot_at_entry,lot_size,lots,qty_per_leg,exit_reason,phase,leg,action,strike,price,qty,value_inr
1,2023-05-29,2023-05-30,2023-05-30,19532.7,40,5,200,EXPIRY,ENTRY,ce_short,SELL,19900,1.08,200,-216.0
1,2023-05-29,2023-05-30,2023-05-30,19532.7,40,5,200,EXPIRY,EXIT,ce_short,BUY,19900,0.0,200,0.0
1,2023-05-29,2023-05-30,2023-05-30,19532.7,40,5,200,EXPIRY,ENTRY,pe_short,SELL,19150,2.35,200,-470.0
1,2023-05-29,2023-05-30,2023-05-30,19532.7,40,5,200,EXPIRY,EXIT,pe_short,BUY,19150,0.0,200,0.0
1,2023-05-29,2023-05-30,2023-05-30,19532.7,40,5,200,EXPIRY,ENTRY,wce_long,BUY,20050,0.77,200,154.0
1,2023-05-29,2023-05-30,2023-05-30,19532.7,40,5,200,EXPIRY,EXIT,wce_long,SELL,20050,0.0,200,0.0
1,2023-05-29,2023-05-30,2023-05-30,19532.7,40,5,200,EXPIRY,ENTRY,wpe_long,BUY,19000,1.84,200,368.0
1,2023-05-29,2023-05-30,2023-05-30,19532.7,40,5,200,EXPIRY,EXIT,wpe_long,SELL,19000,0.0,200,0.0
2,2023-06-12,2023-06-27,2023-06-27,19399.8,40,5,200,EXPIRY,ENTRY,ce_short,SELL,19800,523.56,200,-104712.0
2,2023-06-12,2023-06-27,2023-06-27,19399.8,40,5,200,EXPIRY,EXIT,ce_short,BUY,19800,0.0,200,0.0
2,2023-06-12,2023-06-27,2023-06-27,19399.8,40,5,200,EXPIRY,ENTRY,pe_short,SELL,19000,39.3,200,-7860.0
2,2023-06-12,2023-06-27,2023-06-27,19399.8,40,5,200,EXPIRY,EXIT,pe_short,BUY,19000,0.0,200,0.0
2,2023-06-12,2023-06-27,2023-06-27,19399.8,40,5,200,EXPIRY,ENTRY,wce_long,BUY,19950,243.37,200,48674.0
2,2023-06-12,2023-06-27,2023-06-27,19399.8,40,5,200,EXPIRY,EXIT,wce_long,SELL,19950,0.0,200,0.0
2,2023-06-12,2023-06-27,2023-06-27,19399.8,40,5,200,EXPIRY,ENTRY,wpe_long,BUY,18850,159.83,200,31966.0
2,2023-06-12,2023-06-27,2023-06-27,19399.8,40,5,200,EXPIRY,EXIT,wpe_long,SELL,18850,0.0,200,0.0
3,2023-07-03,2023-07-25,2023-07-25,20253.8,40,5,200,EXPIRY,ENTRY,ce_short,SELL,20650,183.85,200,-36770.0
3,2023-07-03,2023-07-25,2023-07-25,20253.8,40,5,200,EXPIRY,EXIT,ce_short,BUY,20650,0.0,200,0.0
3,2023-07-03,2023-07-25,2023-07-25,20253.8,40,5,200,EXPIRY,ENTRY,pe_short,SELL,19850,429.14,200,-85828.0
3,2023-07-03,2023-07-25,2023-07-25,20253.8,40,5,200,EXPIRY,EXIT,pe_short,BUY,19850,0.0,200,0.0
3,2023-07-03,2023-07-25,2023-07-25,20253.8,40,5,200,EXPIRY,ENTRY,wce_long,BUY,20800,349.55,200,69910.0
3,2023-07-03,2023-07-25,2023-07-25,20253.8,40,5,200,EXPIRY,EXIT,wce_long,SELL,20800,0.0,200,0.0
3,2023-07-03,2023-07-25,2023-07-25,20253.8,40,5,200,EXPIRY,ENTRY,wpe_long,BUY,19700,80.63,200,16126.0
3,2023-07-03,2023-07-25,2023-07-25,20253.8,40,5,200,EXPIRY,EXIT,wpe_long,SELL,19700,0.0,200,0.0
4,2023-08-14,2023-08-29,2023-08-29,19652.5,40,5,200,EXPIRY,ENTRY,ce_short,SELL,20050,68.6,200,-13720.0
4,2023-08-14,2023-08-29,2023-08-29,19652.5,40,5,200,EXPIRY,EXIT,ce_short,BUY,20050,0.0,200,0.0
4,2023-08-14,2023-08-29,2023-08-29,19652.5,40,5,200,EXPIRY,ENTRY,pe_short,SELL,19250,89.62,200,-17924.0
4,2023-08-14,2023-08-29,2023-08-29,19652.5,40,5,200,EXPIRY,EXIT,pe_short,BUY,19250,0.0,200,0.0
4,2023-08-14,2023-08-29,2023-08-29,19652.5,40,5,200,EXPIRY,ENTRY,wce_long,BUY,20200,36.11,200,7222.0
4,2023-08-14,2023-08-29,2023-08-29,19652.5,40,5,200,EXPIRY,EXIT,wce_long,SELL,20200,0.0,200,0.0
4,2023-08-14,2023-08-29,2023-08-29,19652.5,40,5,200,EXPIRY,ENTRY,wpe_long,BUY,19100,107.2,200,21440.0
4,2023-08-14,2023-08-29,2023-08-29,19652.5,40,5,200,EXPIRY,EXIT,wpe_long,SELL,19100,0.0,200,0.0
5,2023-09-04,2023-09-26,2023-09-26,19787.6,40,5,200,EXPIRY,ENTRY,ce_short,SELL,20200,789.24,200,-157848.0
5,2023-09-04,2023-09-26,2023-09-26,19787.6,40,5,200,EXPIRY,EXIT,ce_short,BUY,20200,0.0,200,0.0
5,2023-09-04,2023-09-26,2023-09-26,19787.6,40,5,200,EXPIRY,ENTRY,pe_short,SELL,19400,490.64,200,-98128.0
5,2023-09-04,2023-09-26,2023-09-26,19787.6,40,5,200,EXPIRY,EXIT,pe_short,BUY,19400,0.0,200,0.0
5,2023-09-04,2023-09-26,2023-09-26,19787.6,40,5,200,EXPIRY,ENTRY,wce_long,BUY,20350,254.75,200,50950.0
5,2023-09-04,2023-09-26,2023-09-26,19787.6,40,5,200,EXPIRY,EXIT,wce_long,SELL,20350,0.0,200,0.0
5,2023-09-04,2023-09-26,2023-09-26,19787.6,40,5,200,EXPIRY,ENTRY,wpe_long,BUY,19250,177.17,200,35434.0
5,2023-09-04,2023-09-26,2023-09-26,19787.6,40,5,200,EXPIRY,EXIT,wpe_long,SELL,19250,0.0,200,0.0
6,2023-10-16,2023-10-31,2023-10-31,19814.5,40,5,200,EXPIRY,ENTRY,ce_short,SELL,20200,1233.43,200,-246686.0
6,2023-10-16,2023-10-31,2023-10-31,19814.5,40,5,200,EXPIRY,EXIT,ce_short,BUY,20200,0.0,200,0.0
6,2023-10-16,2023-10-31,2023-10-31,19814.5,40,5,200,EXPIRY,ENTRY,pe_short,SELL,19400,57.33,200,-11466.0
6,2023-10-16,2023-10-31,2023-10-31,19814.5,40,5,200,EXPIRY,EXIT,pe_short,BUY,19400,195.4,200,39080.0
6,2023-10-16,2023-10-31,2023-10-31,19814.5,40,5,200,EXPIRY,ENTRY,wce_long,BUY,20350,251.48,200,50296.0
6,2023-10-16,2023-10-31,2023-10-31,19814.5,40,5,200,EXPIRY,EXIT,wce_long,SELL,20350,0.0,200,0.0
6,2023-10-16,2023-10-31,2023-10-31,19814.5,40,5,200,EXPIRY,ENTRY,wpe_long,BUY,19250,202.72,200,40544.0
6,2023-10-16,2023-10-31,2023-10-31,19814.5,40,5,200,EXPIRY,EXIT,wpe_long,SELL,19250,45.4,200,-9080.0
7,2023-11-06,2023-11-13,2023-11-28,19537.6,40,5,200,SL,ENTRY,ce_short,SELL,19950,149.89,200,-29978.0
7,2023-11-06,2023-11-13,2023-11-28,19537.6,40,5,200,SL,EXIT,ce_short,BUY,19950,53.3,200,10660.0
7,2023-11-06,2023-11-13,2023-11-28,19537.6,40,5,200,SL,ENTRY,pe_short,SELL,19150,315.95,200,-63190.0
7,2023-11-06,2023-11-13,2023-11-28,19537.6,40,5,200,SL,EXIT,pe_short,BUY,19150,322.4,200,64480.0
7,2023-11-06,2023-11-13,2023-11-28,19537.6,40,5,200,SL,ENTRY,wce_long,BUY,20100,58.85,200,11770.0
7,2023-11-06,2023-11-13,2023-11-28,19537.6,40,5,200,SL,EXIT,wce_long,SELL,20100,57.7,200,-11540.0
7,2023-11-06,2023-11-13,2023-11-28,19537.6,40,5,200,SL,ENTRY,wpe_long,BUY,19000,322.63,200,64526.0
7,2023-11-06,2023-11-13,2023-11-28,19537.6,40,5,200,SL,EXIT,wpe_long,SELL,19000,50.0,200,-10000.0
8,2023-12-11,2023-12-26,2023-12-26,21214.7,40,5,200,EXPIRY,ENTRY,ce_short,SELL,21650,15.63,200,-3126.0
8,2023-12-11,2023-12-26,2023-12-26,21214.7,40,5,200,EXPIRY,EXIT,ce_short,BUY,21650,0.0,200,0.0
8,2023-12-11,2023-12-26,2023-12-26,21214.7,40,5,200,EXPIRY,ENTRY,pe_short,SELL,20800,1103.92,200,-220784.0
8,2023-12-11,2023-12-26,2023-12-26,21214.7,40,5,200,EXPIRY,EXIT,pe_short,BUY,20800,0.0,200,0.0
8,2023-12-11,2023-12-26,2023-12-26,21214.7,40,5,200,EXPIRY,ENTRY,wce_long,BUY,21800,75.48,200,15096.0
8,2023-12-11,2023-12-26,2023-12-26,21214.7,40,5,200,EXPIRY,EXIT,wce_long,SELL,21800,0.0,200,0.0
8,2023-12-11,2023-12-26,2023-12-26,21214.7,40,5,200,EXPIRY,ENTRY,wpe_long,BUY,20650,969.56,200,193912.0
8,2023-12-11,2023-12-26,2023-12-26,21214.7,40,5,200,EXPIRY,EXIT,wpe_long,SELL,20650,0.0,200,0.0
9,2024-01-29,2024-01-30,2024-01-30,20413.3,40,5,200,EXPIRY,ENTRY,ce_short,SELL,20800,4.7,200,-940.0
9,2024-01-29,2024-01-30,2024-01-30,20413.3,40,5,200,EXPIRY,EXIT,ce_short,BUY,20800,0.0,200,0.0
9,2024-01-29,2024-01-30,2024-01-30,20413.3,40,5,200,EXPIRY,ENTRY,pe_short,SELL,20000,5.88,200,-1176.0
9,2024-01-29,2024-01-30,2024-01-30,20413.3,40,5,200,EXPIRY,EXIT,pe_short,BUY,20000,0.0,200,0.0
9,2024-01-29,2024-01-30,2024-01-30,20413.3,40,5,200,EXPIRY,ENTRY,wce_long,BUY,20950,1.43,200,286.0
9,2024-01-29,2024-01-30,2024-01-30,20413.3,40,5,200,EXPIRY,EXIT,wce_long,SELL,20950,0.0,200,0.0
9,2024-01-29,2024-01-30,2024-01-30,20413.3,40,5,200,EXPIRY,ENTRY,wpe_long,BUY,19850,2.5,200,500.0
9,2024-01-29,2024-01-30,2024-01-30,20413.3,40,5,200,EXPIRY,EXIT,wpe_long,SELL,19850,0.0,200,0.0
10,2024-02-05,2024-02-27,2024-02-27,20315.8,40,5,200,EXPIRY,ENTRY,ce_short,SELL,20700,224.42,200,-44884.0
10,2024-02-05,2024-02-27,2024-02-27,20315.8,40,5,200,EXPIRY,EXIT,ce_short,BUY,20700,0.0,200,0.0
10,2024-02-05,2024-02-27,2024-02-27,20315.8,40,5,200,EXPIRY,ENTRY,pe_short,SELL,19900,618.62,200,-123724.0
10,2024-02-05,2024-02-27,2024-02-27,20315.8,40,5,200,EXPIRY,EXIT,pe_short,BUY,19900,0.0,200,0.0
10,2024-02-05,2024-02-27,2024-02-27,20315.8,40,5,200,EXPIRY,ENTRY,wce_long,BUY,20850,241.18,200,48236.0
10,2024-02-05,2024-02-27,2024-02-27,20315.8,40,5,200,EXPIRY,EXIT,wce_long,SELL,20850,0.0,200,0.0
10,2024-02-05,2024-02-27,2024-02-27,20315.8,40,5,200,EXPIRY,ENTRY,wpe_long,BUY,19750,171.82,200,34364.0
10,2024-02-05,2024-02-27,2024-02-27,20315.8,40,5,200,EXPIRY,EXIT,wpe_long,SELL,19750,0.0,200,0.0
11,2024-03-11,2024-03-12,2024-03-26,20862.5,40,5,200,SL,ENTRY,ce_short,SELL,21300,173.46,200,-34692.0
11,2024-03-11,2024-03-12,2024-03-26,20862.5,40,5,200,SL,EXIT,ce_short,BUY,21300,115.0,200,23000.0
11,2024-03-11,2024-03-12,2024-03-26,20862.5,40,5,200,SL,ENTRY,pe_short,SELL,20450,142.34,200,-28468.0
11,2024-03-11,2024-03-12,2024-03-26,20862.5,40,5,200,SL,EXIT,pe_short,BUY,20450,145.25,200,29050.0
11,2024-03-11,2024-03-12,2024-03-26,20862.5,40,5,200,SL,ENTRY,wce_long,BUY,21450,154.17,200,30834.0
11,2024-03-11,2024-03-12,2024-03-26,20862.5,40,5,200,SL,EXIT,wce_long,SELL,21450,82.35,200,-16470.0
11,2024-03-11,2024-03-12,2024-03-26,20862.5,40,5,200,SL,ENTRY,wpe_long,BUY,20300,155.04,200,31008.0
11,2024-03-11,2024-03-12,2024-03-26,20862.5,40,5,200,SL,EXIT,wpe_long,SELL,20300,56.5,200,-11300.0
12,2024-04-01,2024-04-30,2024-04-30,21198.4,40,5,200,EXPIRY,ENTRY,ce_short,SELL,21600,390.24,200,-78048.0
12,2024-04-01,2024-04-30,2024-04-30,21198.4,40,5,200,EXPIRY,EXIT,ce_short,BUY,21600,241.15,200,48230.0
12,2024-04-01,2024-04-30,2024-04-30,21198.4,40,5,200,EXPIRY,ENTRY,pe_short,SELL,20750,400.23,200,-80046.0
12,2024-04-01,2024-04-30,2024-04-30,21198.4,40,5,200,EXPIRY,EXIT,pe_short,BUY,20750,0.0,200,0.0
12,2024-04-01,2024-04-30,2024-04-30,21198.4,40,5,200,EXPIRY,ENTRY,wce_long,BUY,21750,155.86,200,31172.0
12,2024-04-01,2024-04-30,2024-04-30,21198.4,40,5,200,EXPIRY,EXIT,wce_long,SELL,21750,91.15,200,-18230.0
12,2024-04-01,2024-04-30,2024-04-30,21198.4,40,5,200,EXPIRY,ENTRY,wpe_long,BUY,20600,265.66,200,53132.0
12,2024-04-01,2024-04-30,2024-04-30,21198.4,40,5,200,EXPIRY,EXIT,wpe_long,SELL,20600,0.0,200,0.0
13,2024-05-06,2024-05-28,2024-05-28,21743.7,40,5,200,EXPIRY,ENTRY,ce_short,SELL,22200,302.48,200,-60496.0
13,2024-05-06,2024-05-28,2024-05-28,21743.7,40,5,200,EXPIRY,EXIT,ce_short,BUY,22200,0.0,200,0.0
13,2024-05-06,2024-05-28,2024-05-28,21743.7,40,5,200,EXPIRY,ENTRY,pe_short,SELL,21300,934.38,200,-186876.0
13,2024-05-06,2024-05-28,2024-05-28,21743.7,40,5,200,EXPIRY,EXIT,pe_short,BUY,21300,0.0,200,0.0
13,2024-05-06,2024-05-28,2024-05-28,21743.7,40,5,200,EXPIRY,ENTRY,wce_long,BUY,22350,263.93,200,52786.0
13,2024-05-06,2024-05-28,2024-05-28,21743.7,40,5,200,EXPIRY,EXIT,wce_long,SELL,22350,0.0,200,0.0
13,2024-05-06,2024-05-28,2024-05-28,21743.7,40,5,200,EXPIRY,ENTRY,wpe_long,BUY,21150,134.59,200,26918.0
13,2024-05-06,2024-05-28,2024-05-28,21743.7,40,5,200,EXPIRY,EXIT,wpe_long,SELL,21150,0.0,200,0.0
14,2024-06-10,2024-06-25,2024-06-25,22154.8,40,5,200,EXPIRY,ENTRY,ce_short,SELL,22600,239.17,200,-47834.0
14,2024-06-10,2024-06-25,2024-06-25,22154.8,40,5,200,EXPIRY,EXIT,ce_short,BUY,22600,910.65,200,182130.0
14,2024-06-10,2024-06-25,2024-06-25,22154.8,40,5,200,EXPIRY,ENTRY,pe_short,SELL,21700,1325.84,200,-265168.0
14,2024-06-10,2024-06-25,2024-06-25,22154.8,40,5,200,EXPIRY,EXIT,pe_short,BUY,21700,0.0,200,0.0
