entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,margin_required_inr,margin_pct_of_capital,exit_reason,month,year,running_pnl,equity,peak,drawdown_pct
2023-05-29,2023-05-30,2023-05-30,19532.7,20100,18950,20300,18750,0.67,1.58,0.7,1.24,0.0,0.0,0.0,0.0,0.31,0.0,0.31,40,1,12.4,199.688,7987.5199999999995,53030.4,26.5,EXPIRY,2023-05,2023,12.4,200012.4,200012.4,0.0
2023-06-26,2023-06-27,2023-06-27,19521.8,20100,18950,20300,18750,0.96,1.15,0.97,0.97,0.0,0.0,0.0,0.0,0.17,0.0,0.17,40,1,6.800000000000001,199.832,7993.28,53030.4,26.5,EXPIRY,2023-06,2023,19.200000000000003,200019.2,200019.2,0.0
2023-07-24,2023-07-25,2023-07-25,20502.8,21100,19900,21300,19700,1.25,1.68,1.09,1.2,0.0,0.0,0.0,0.0,0.64,0.0,0.64,40,1,25.6,199.36,7974.400000000001,55668.4,27.8,EXPIRY,2023-07,2023,44.800000000000004,200044.8,200044.8,0.0
2023-09-18,2023-09-21,2023-09-26,20408.2,21000,19800,21200,19600,10.51,11.38,6.4,7.38,1.45,74.9,1.3,24.9,8.11,52.16,-44.05,40,1,-1762.0,191.892,7675.68,54936.8,27.5,SL,2023-09,2023,-1717.2,198282.8,200044.8,-0.8808027001951564
2023-10-23,2023-10-31,2023-10-31,19404.8,20000,18800,20200,18600,13.73,24.62,8.05,16.36,0.0,0.0,0.0,0.0,13.94,0.0,13.94,40,1,557.6,186.056,7442.240000000001,51791.6,25.9,EXPIRY,2023-10,2023,-1159.6,198840.4,200044.8,-0.6020651374092175
2023-11-20,2023-11-28,2023-11-28,19518.6,20100,18950,20300,18750,11.71,11.71,5.78,7.07,0.0,0.0,0.0,0.0,10.57,0.0,10.57,40,1,422.8,189.428,7577.12,52594.0,26.3,EXPIRY,2023-11,2023,-736.8,199263.2,200044.8,-0.39071248040437784
2023-12-18,2023-12-26,2023-12-26,21444.9,22100,20800,22300,20600,13.97,16.75,9.31,10.5,0.0,0.0,0.0,0.0,10.91,0.0,10.91,40,1,436.4,189.09199999999998,7563.679999999999,57551.6,28.8,EXPIRY,2023-12,2023,-300.4,199699.6,200044.8,-0.1725613462584294
2024-01-29,2024-01-30,2024-01-30,20413.3,21050,19800,21250,19600,0.91,1.92,0.62,0.94,0.0,0.0,0.0,0.0,1.27,0.0,1.27,40,1,50.8,198.728,7949.120000000001,55493.6,27.7,EXPIRY,2024-01,2024,-249.59999999999997,199750.4,200044.8,-0.14716703458425023
2024-02-26,2024-02-27,2024-02-27,20619.7,21250,20000,21450,19800,0.86,1.15,0.62,0.68,0.0,0.0,0.0,0.0,0.72,0.0,0.72,40,1,28.799999999999997,199.284,7971.36,56048.0,28.0,EXPIRY,2024-02,2024,-220.79999999999995,199779.2,200044.8,-0.1327702594618689
2024-04-29,2024-04-30,2024-04-30,21811.2,22450,21150,22650,20950,0.72,4.18,0.57,3.12,0.0,0.0,0.0,0.0,1.2,0.0,1.2,40,1,48.0,198.796,7951.84,59148.4,29.6,EXPIRY,2024-04,2024,-172.79999999999995,199827.2,200044.8,-0.10877563425791459
2024-05-27,2024-05-28,2024-05-28,21965.6,22600,21300,22800,21100,1.82,1.92,0.83,1.14,0.0,0.0,0.0,0.0,1.77,0.0,1.77,40,1,70.8,198.232,7929.28,59625.2,29.8,EXPIRY,2024-05,2024,-101.99999999999996,199898.0,200044.8,-0.0733835620820878
2024-06-24,2024-06-25,2024-06-25,23071.2,23750,22400,23950,22200,0.72,2.64,0.62,1.77,0.0,0.0,0.0,0.0,0.97,0.0,0.97,40,1,38.8,199.032,7961.280000000001,62668.4,31.3,EXPIRY,2024-06,2024,-63.19999999999996,199936.8,200044.8,-0.053987906708897214
2024-07-29,2024-07-30,2024-07-30,23315.3,24000,22600,24200,22400,1.1,1.3,0.73,0.88,0.0,0.0,0.0,0.0,0.79,0.0,0.79,40,1,31.6,199.212,7968.48,63311.6,31.7,EXPIRY,2024-07,2024,-31.59999999999996,199968.4,200044.8,-0.038191445116291044
2024-09-23,2024-09-24,2024-09-24,24953.1,25700,24200,25900,24000,1.01,4.37,0.83,3.54,0.0,0.0,0.0,0.0,1.01,0.0,1.01,40,1,40.4,198.992,7959.679999999999,67689.2,33.8,EXPIRY,2024-09,2024,8.80000000000004,200008.8,200044.8,-0.017995968902965738
2024-10-28,2024-10-29,2024-10-29,23861.8,24600,23150,24800,22950,0.77,1.06,0.52,0.88,0.0,0.0,0.0,0.0,0.42,0.0,0.42,65,1,27.3,199.58,12972.7,105436.5,52.7,EXPIRY,2024-10,2024,36.10000000000004,200036.1,200044.8,-0.00434902581820799
2024-11-25,2024-11-26,2024-11-26,24058.7,24800,23350,25000,23150,1.2,4.08,0.83,2.55,0.0,0.0,0.0,0.0,1.9,0.0,1.9,65,1,123.5,198.1,12876.5,106191.8,53.1,EXPIRY,2024-11,2024,159.60000000000002,200159.6,200159.6,0.0
2024-12-02,2024-12-31,2024-12-31,24072.7,24800,23350,25000,23150,159.94,136.22,122.15,114.4,0.0,0.0,0.0,0.0,59.61,0.0,59.61,65,1,3874.65,140.38800000000003,9125.220000000003,91035.75,45.5,EXPIRY,2024-12,2024,4034.25,204034.25,204034.25,0.0
2025-01-06,2025-01-28,2025-01-28,23317.8,24000,22600,24200,22400,196.85,137.23,158.18,109.82,0.0,0.0,0.0,0.0,66.07,0.0,66.07,65,1,4294.549999999999,133.928,8705.32,85566.0,42.8,EXPIRY,2025-01,2025,8328.8,208328.8,208328.8,0.0
2025-02-03,2025-02-25,2025-02-25,23132.5,23850,22450,24050,22250,179.71,139.34,115.86,113.36,0.0,0.0,0.0,0.0,89.84,0.0,89.84,65,1,5839.6,110.16000000000003,7160.4000000000015,87423.7,43.7,EXPIRY,2025-02,2025,14168.4,214168.4,214168.4,0.0
2025-03-03,2025-03-20,2025-03-25,22953.0,23650,22250,23850,22050,122.06,105.12,86.22,82.99,658.3,2.65,474.35,2.45,57.98,191.52,-133.54,65,1,-8680.1,142.02400000000003,9231.560000000001,90440.35,45.2,SL,2025-03,2025,5488.299999999999,205488.3,214168.4,-4.052932178603382
2025-04-28,2025-05-29,2025-05-29,26291.7,27100,25500,27300,25300,219.74,214.03,185.07,192.82,0.0,0.0,0.0,0.0,55.89,0.0,55.89,65,1,3632.85,144.10800000000006,9367.020000000004,91683.15,45.8,EXPIRY,2025-04,2025,9121.15,209121.15,214168.4,-2.3566735335371605
2025-06-09,2025-06-26,2025-06-26,26992.8,27800,26200,28000,26000,108.29,100.8,80.65,82.11,0.0,0.0,0.0,0.0,46.33,0.0,46.33,65,1,3011.45,153.672,9988.68,108760.6,54.4,EXPIRY,2025-06,2025,12132.599999999999,212132.6,214168.4,-0.9505604001337211
2025-07-28,2025-07-31,2025-07-31,26615.2,27400,25800,27600,25600,9.17,5.42,6.29,4.32,0.0,0.0,0.0,0.0,3.98,0.0,3.98,65,1,258.7,196.016,12741.039999999999,116882.35,58.4,EXPIRY,2025-07,2025,12391.3,212391.3,214168.4,-0.8297676034372978
2025-08-25,2025-08-28,2025-08-28,26306.9,27100,25500,27300,25300,2.93,3.31,2.24,2.5,0.0,0.0,0.0,0.0,1.51,0.0,1.51,65,1,98.15,198.492,12901.98,115937.9,58.0,EXPIRY,2025-08,2025,12489.449999999999,212489.45,214168.4,-0.783939180570048
2025-09-29,2025-09-30,2025-09-30,26007.0,26800,25250,27000,25050,1.54,2.88,1.51,2.44,0.0,0.0,0.0,0.0,0.46,0.0,0.46,65,1,29.900000000000002,199.536,12969.84,114773.75,57.4,EXPIRY,2025-09,2025,12519.349999999999,212519.35,214168.4,-0.7699782040674481
2025-10-27,2025-10-28,2025-10-28,27519.0,28350,26700,28550,26500,2.06,3.84,1.35,3.12,0.0,0.0,0.0,0.0,1.43,0.0,1.43,65,1,92.95,198.568,12906.92,121369.95,60.7,EXPIRY,2025-10,2025,12612.3,212612.3,214168.4,-0.7265777771137133
2025-11-17,2025-11-25,2025-11-25,27646.2,28500,26800,28700,26600,16.66,25.97,9.72,20.18,0.0,0.0,0.0,0.0,12.72,0.0,12.72,65,1,826.8000000000001,187.276,12172.94,120269.5,60.1,EXPIRY,2025-11,2025,13439.099999999999,213439.1,214168.4,-0.3405264268678238
2025-12-29,2025-12-30,2025-12-30,27363.5,28200,26550,28400,26350,1.68,1.39,1.4,1.51,0.0,0.0,0.0,0.0,0.16,0.0,0.16,65,1,10.4,199.84,12989.6,120808.35,60.4,EXPIRY,2025-12,2025,13449.499999999998,213449.5,214168.4,-0.3356704350408343
2026-01-19,2026-01-23,2026-01-27,27519.0,28350,26700,28550,26500,7.63,16.94,6.24,13.83,2.8,75.5,2.2,38.75,4.5,38.84,-34.34,60,1,-2060.4,195.496,11729.76,111097.8,55.5,SL,2026-01,2026,11389.099999999999,211389.1,214168.4,-1.297717123534559
2026-02-02,2026-02-24,2026-02-24,26799.0,27600,26000,27800,25800,135.79,122.35,106.18,100.98,695.1,0.0,495.1,0.0,50.98,208.0,-157.02,60,1,-9421.2,149.024,8941.44,96914.4,48.5,EXPIRY,2026-02,2026,1967.8999999999978,201967.9,214168.4,-5.696685412040245
2026-04-27,2026-04-28,2026-04-28,26164.7,26950,25400,27150,25200,4.56,5.09,2.55,2.96,0.0,0.0,0.0,0.0,4.14,0.0,4.14,60,1,248.39999999999998,195.864,11751.84,106463.4,53.2,EXPIRY,2026-04,2026,2216.299999999998,202216.3,214168.4,-5.580701914941702
