month,trades,pnl,wins,wr,mo_roi_pct,equity_end
2023-05,1,-30103.44,0,0.0,-15.05172,169896.56
2023-06,1,24446.56,1,100.0,12.22328,194343.12
2023-07,1,36809.28,1,100.0,18.40464,231152.4
2023-08,1,129898.56,1,100.0,64.94928,361050.95999999996
2023-09,1,111769.36,1,100.0,55.884679999999996,472820.32
2023-10,1,200612.32,1,100.0,100.30616,673432.64
2023-11,1,32655.04,1,100.0,16.32752,706087.6799999999
2023-12,1,59250.08,1,100.0,29.625040000000002,765337.76
2024-01,1,-35260.8,0,0.0,-17.6304,730076.96
2024-02,1,24536.96,1,100.0,12.26848,754613.9199999999
2024-03,1,9572.32,1,100.0,4.78616,764186.2399999999
2024-04,1,41569.52,1,100.0,20.78476,805755.7599999999
2024-05,1,32938.48,1,100.0,16.469240000000003,838694.2399999999
2024-06,1,77500.32,1,100.0,38.75016000000001,916194.5599999998
2024-07,1,64568.96,1,100.0,32.28448,980763.5199999998
2024-08,1,41639.04,1,100.0,20.81952,1022402.5599999998
2024-09,1,97662.4,1,100.0,48.831199999999995,1120064.96
2024-10,1,24541.66,1,100.0,12.27083,1144606.6199999999
2024-11,1,64053.86,1,100.0,32.02693,1208660.48
2024-12,1,42486.34,1,100.0,21.243169999999996,1251146.8199999998
2025-01,1,47782.41,1,100.0,23.891205000000003,1298929.2299999997
2025-02,1,45631.69,1,100.0,22.815845000000003,1344560.9199999997
2025-03,1,-22685.0,0,0.0,-11.3425,1321875.9199999997
2025-04,2,22450.22,1,50.0,11.22511,1344326.1399999997
2025-06,1,30930.9,1,100.0,15.46545,1375257.0399999996
2025-07,1,181481.82,1,100.0,90.74091000000001,1556738.8599999996
2025-08,1,57634.33,1,100.0,28.817165,1614373.1899999997
2025-09,1,47410.35,1,100.0,23.705175,1661783.5399999998
2025-10,1,85674.55,1,100.0,42.837275000000005,1747458.0899999999
2025-11,1,45581.25,1,100.0,22.790625000000002,1793039.3399999999
2025-12,1,34467.68,1,100.0,17.23384,1827507.0199999998
2026-01,1,16019.9,1,100.0,8.00995,1843526.9199999997
2026-02,1,-80559.05,0,0.0,-40.279525,1762967.8699999996
2026-04,1,-98178.08,0,0.0,-49.08904,1664789.7899999996
2026-05,1,80328.56,1,100.0,40.16428,1745118.3499999996
