entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,exit_reason,month,year,cum_pnl,nav,peak,dd_pct
2023-05-15,2023-05-19,2023-05-30,19583.2,20150,19000,20650,18500,15.92,204.07,-188.15,40,4,-30103.44,484.076,77452.16,SL,2023-05,2023,-30103.44,169896.56,169896.56,0.0
2023-06-05,2023-06-27,2023-06-27,19438.5,20000,18850,20500,18350,152.79,0.0,152.79,40,4,24446.56,347.209,55553.44,EXPIRY,2023-06,2023,-5656.879999999997,194343.12,194343.12,0.0
2023-07-10,2023-07-25,2023-07-25,20057.3,20650,19450,21150,18950,230.06,0.0,230.06,40,4,36809.28,269.94200000000006,43190.72000000001,EXPIRY,2023-07,2023,31152.4,231152.4,231152.4,0.0
2023-08-21,2023-08-29,2023-08-29,19571.5,20150,19000,20650,18500,811.87,0.0,811.87,40,4,129898.56,-311.8659999999999,-49898.55999999998,EXPIRY,2023-08,2023,161050.96,361050.95999999996,361050.95999999996,0.0
2023-09-04,2023-09-26,2023-09-26,19787.6,20400,19200,20900,18700,698.56,0.0,698.56,40,4,111769.36,-198.5585000000001,-31769.360000000015,EXPIRY,2023-09,2023,272820.32,472820.32,472820.32,0.0
2023-10-09,2023-10-31,2023-10-31,19594.7,20200,19000,20700,18500,1253.83,0.0,1253.83,40,4,200612.32,-753.8269999999998,-120612.31999999996,EXPIRY,2023-10,2023,473432.64,673432.64,673432.64,0.0
2023-11-13,2023-11-28,2023-11-28,19542.2,20150,18950,20650,18450,204.09,0.0,204.09,40,4,32655.04,295.906,47344.96,EXPIRY,2023-11,2023,506087.68,706087.6799999999,706087.6799999999,0.0
2023-12-04,2023-12-26,2023-12-26,20862.9,21500,20250,22000,19750,370.31,0.0,370.31,40,4,59250.08,129.687,20749.920000000002,EXPIRY,2023-12,2023,565337.76,765337.76,765337.76,0.0
2024-01-01,2024-01-30,2024-01-30,21457.1,22100,20800,22600,20300,284.62,505.0,-220.38,40,4,-35260.8,215.37999999999988,34460.79999999998,EXPIRY,2024-01,2024,530076.96,730076.96,765337.76,-4.607220738723261
2024-02-12,2024-02-27,2024-02-27,19918.5,20500,19300,21000,18800,206.78,53.43,153.36,40,4,24536.96,293.21500000000003,46914.40000000001,EXPIRY,2024-02,2024,554613.9199999999,754613.9199999999,765337.76,-1.4011905018249782
2024-03-04,2024-03-26,2024-03-26,20927.2,21550,20300,22050,19800,59.83,0.0,59.83,40,4,9572.32,440.173,70427.68,EXPIRY,2024-03,2024,564186.2399999999,764186.2399999999,765337.76,-0.15045906006260212
2024-04-08,2024-04-30,2024-04-30,21604.5,22250,20950,22750,20450,259.81,0.0,259.81,40,4,41569.52,240.1905,38430.479999999996,EXPIRY,2024-04,2024,605755.7599999999,805755.7599999999,805755.7599999999,0.0
2024-05-06,2024-05-28,2024-05-28,21743.7,22400,21100,22900,20600,205.87,0.0,205.87,40,4,32938.48,294.1344999999999,47061.51999999998,EXPIRY,2024-05,2024,638694.2399999999,838694.2399999999,838694.2399999999,0.0
