entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,exit_reason,month,year,running_pnl,equity,roi_pct,margin_required_inr,margin_pct_of_capital,peak,drawdown_pct
2023-05-15,2023-05-30,2023-05-30,19583.2,20350,18800,20650,18500,135.23,1107.17,193.47,22.27,0.0,0.0,0.0,0.0,1026.66,0.0,1026.66,40,1,41066.4,-726.6644999999996,-29066.58,EXPIRY,2023-05,2023,41066.4,241066.4,20.5332,44614.4,22.3,241066.4,0.0
2023-06-05,2023-06-15,2023-06-27,19438.5,20200,18650,20500,18350,180.63,112.96,145.04,68.23,182.45,114.1,25.0,9.15,80.32,265.02,-184.7,40,1,-7388.0,219.677,8787.08,SL,2023-06,2023,33678.4,233678.4,16.8392,44305.2,22.2,241066.4,-3.0647
2023-07-10,2023-07-25,2023-07-25,20057.3,20850,19250,21150,18950,140.38,200.72,91.81,129.08,0.0,0.0,0.0,0.0,120.22,0.0,120.22,40,1,4808.8,179.78249999999997,7191.3,EXPIRY,2023-07,2023,38487.2,238487.2,19.2436,45700.4,22.9,241066.4,-1.0699
2023-08-21,2023-08-29,2023-08-29,19571.5,20350,18800,20650,18500,684.19,6.48,3.54,3.13,0.0,0.0,0.0,0.0,684.01,0.0,684.01,40,1,27360.4,-384.0075,-15360.3,EXPIRY,2023-08,2023,65847.6,265847.6,32.9238,52977.2,26.5,265847.6,0.0
2023-09-04,2023-09-26,2023-09-26,19787.6,20600,19000,20900,18700,815.46,97.27,114.89,286.84,0.0,0.0,0.0,0.0,511.0,0.0,511.0,40,1,20440.0,-211.00300000000016,-8440.12,EXPIRY,2023-09,2023,86287.6,286287.6,43.1438,37786.8,18.9,286287.6,0.0
2023-10-09,2023-10-10,2023-10-31,19594.7,20400,18800,20700,18500,77.96,167.76,176.55,18.84,57.75,169.45,35.3,19.0,50.33,174.63,-124.3,40,1,-4972.0,249.6665,9986.66,SL,2023-10,2023,81315.6,281315.6,40.6578,45496.4,22.7,286287.6,-1.7367
2023-11-13,2023-11-28,2023-11-28,19542.2,20300,18750,20600,18450,62.91,173.7,18.79,103.68,0.0,0.0,0.0,0.0,114.15,0.0,114.15,40,1,4566.0,185.8525,7434.1,EXPIRY,2023-11,2023,85881.6,285881.6,42.9408,48209.2,24.1,286287.6,-0.1418
2023-12-04,2023-12-07,2023-12-26,20862.9,21700,20050,22000,19750,12.03,521.68,195.79,161.5,103.6,526.95,22.35,9.8,176.42,604.38,-427.96,40,1,-17118.4,123.57849999999996,4943.14,SL,2023-12,2023,68763.2,268763.2,34.3816,42488.4,21.2,286287.6,-6.1213
2024-01-29,2024-01-30,2024-01-30,20413.3,21250,19600,21550,19300,0.59,0.89,0.4,0.56,0.0,0.0,0.0,0.0,0.53,0.0,0.53,40,1,21.2,299.4745,11978.98,EXPIRY,2024-01,2024,68784.4,268784.4,34.3922,55517.6,27.8,286287.6,-6.1139
2024-02-05,2024-02-27,2024-02-27,20315.8,21150,19500,21450,19200,151.87,454.51,84.64,356.08,0.0,0.0,0.0,0.0,165.66,0.0,165.66,40,1,6626.4,134.3385,5373.54,EXPIRY,2024-02,2024,75410.8,275410.8,37.7054,37655.2,18.8,286287.6,-3.7993
2024-03-04,2024-03-26,2024-03-26,20927.2,21750,20100,22050,19800,88.41,213.1,53.08,160.34,0.0,0.0,0.0,0.0,88.09,0.0,88.09,40,1,3523.6,211.9085,8476.34,EXPIRY,2024-03,2024,78934.4,278934.4,39.4672,48379.2,24.2,286287.6,-2.5685
