entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,margin_required_inr,margin_pct_of_capital,exit_reason,month,year
2024-12-09,2024-12-20,2024-12-31,24722.6,25700,23750,25900,23550,74.01,87.95,59.51,79.38,10.0,338.85,8.45,237.6,23.08,111.02,-87.95,65,5,-28582.45,176.922,57499.65,501283.9,250.6,SL,2024-12,2024
2025-01-08,2025-01-28,2025-01-28,23236.0,24150,22300,24350,22100,100.42,63.53,82.57,52.76,0.0,0.0,0.0,0.0,28.62,0.0,28.62,65,5,9301.5,171.38,55698.5,469292.2,234.6,EXPIRY,2025-01,2025
2025-02-10,2025-02-25,2025-02-25,23400.3,24350,22450,24550,22250,67.57,53.73,50.87,33.8,0.0,0.0,0.0,0.0,36.63,0.0,36.63,65,5,11904.75,163.36999999999998,53095.24999999999,489621.6,244.8,EXPIRY,2025-02,2025
2025-03-10,2025-03-18,2025-03-25,23056.8,24000,22150,24200,21950,31.23,44.48,20.47,42.07,203.6,3.95,108.35,3.75,13.18,103.09,-89.9,65,5,-29218.15,186.816,60715.200000000004,489634.6,244.8,SL,2025-03,2025
2025-05-13,2025-05-13,2025-05-29,26206.0,27250,25150,27450,24950,69.41,73.78,66.91,69.28,75.45,80.2,61.95,64.15,7.01,31.91,-24.9,65,5,-8093.8,192.99,62721.75,534758.9,267.4,SL,2025-05,2025
2025-06-13,2025-06-26,2025-06-26,26335.6,27400,25300,27600,25100,37.54,51.89,29.32,44.44,0.0,0.0,0.0,0.0,15.66,0.0,15.66,65,5,5089.5,184.33999999999997,59910.499999999985,558361.7,279.2,EXPIRY,2025-06,2025
2025-07-14,2025-07-18,2025-07-31,26802.2,27850,25750,28050,25550,34.78,29.81,25.97,28.57,18.65,38.05,10.7,15.15,10.04,33.32,-23.27,65,5,-7564.05,189.95600000000002,61735.700000000004,574554.5,287.3,SL,2025-07,2025
2025-11-10,2025-11-25,2025-11-25,27305.0,28400,26200,28600,26000,29.95,30.82,22.52,26.46,0.0,0.0,0.0,0.0,11.79,0.0,11.79,65,5,3831.1,188.21200000000002,61168.9,587412.15,293.7,EXPIRY,2025-11,2025
2026-01-09,2026-01-27,2026-01-27,27382.1,28500,26300,28700,26100,21.85,20.1,15.71,19.22,0.0,0.0,0.0,0.0,7.01,0.0,7.01,60,5,2104.2,192.986,57895.799999999996,548478.6,274.2,EXPIRY,2026-01,2026
2026-02-09,2026-02-24,2026-02-24,28154.0,29300,27050,29500,26850,23.41,39.84,20.52,37.58,0.0,0.0,0.0,0.0,5.15,0.0,5.15,60,5,1543.8,194.85399999999998,58456.2,557338.8,278.7,EXPIRY,2026-02,2026
2026-05-14,2026-05-19,2026-05-26,25472.5,26500,24450,26700,24250,87.22,98.58,71.33,89.05,23.7,123.5,15.1,44.75,25.41,94.34,-68.92,60,5,-20677.2,174.58599999999998,52375.799999999996,471576.0,235.8,SL,2026-05,2026
