trade_idx,underlying,entry_date,expiry,date,leg,strike,close,volume,oi,num_trades,notional_lakh,traded_value_inr,avg_trade_inr,our_share_of_traded
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-13,ce_short,22000,14.3,791,20840,,6965.19,452452.0,,0.0058
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-13,pe_short,20300,19.95,1,120,,8.12,798.0,,4.6
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-13,wce_long,22300,7.75,52,1720,,463.99,16120.0,,0.1038
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-13,wpe_long,20000,11.3,1144,34480,,9158.03,517088.0,,0.0047
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-14,ce_short,22000,45.95,3881,27680,,34225.53,7133278.0,,0.0004
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-14,pe_short,20300,19.95,0,120,,,,,
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-14,wce_long,22300,12.65,52,2480,,464.12,26312.0,,0.0636
0,FINNIFTY,2023-12-13,2023-12-26,2023-12-14,wpe_long,20000,5.85,2549,41920,,20399.51,596466.0,,0.0041
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-09,ce_short,25700,80.45,6997,51725,3181.0,4511077078.75,36589062.0,11502.0,0.0007
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-09,pe_short,23750,95.6,872,24900,270.0,519866051.25,5418608.0,20069.0,0.0053
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-09,wce_long,26000,46.55,32132,174150,10186.0,20926269988.75,97223399.0,9545.0,0.0002
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-09,wpe_long,23450,63.4,627,7575,282.0,368586895.0,2583867.0,9163.0,0.0086
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-10,ce_short,25700,84.7,7766,63325,3851.0,5006073653.75,42755713.0,11102.0,0.0006
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-10,pe_short,23750,72.8,783,30150,335.0,466475413.75,3705156.0,11060.0,0.0077
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-10,wce_long,26000,47.05,28202,211400,9368.0,18364817410.0,86248766.0,9207.0,0.0002
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-10,wpe_long,23450,47.45,326,8775,151.0,191561161.25,1005466.0,6659.0,0.0221
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-11,ce_short,25700,72.65,6451,73000,2593.0,4156968042.5,30463235.0,11748.0,0.0008
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-11,pe_short,23750,59.85,770,30525,268.0,458430375.0,2995492.0,11177.0,0.0095
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-11,wce_long,26000,41.35,22059,244250,7494.0,14361176160.0,59289077.0,7912.0,0.0003
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-11,wpe_long,23450,38.1,275,8375,132.0,161497255.0,681038.0,5159.0,0.0327
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-12,ce_short,25700,60.4,4730,65975,1950.0,3046761372.5,18569980.0,9523.0,0.0013
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-12,pe_short,23750,58.2,1367,27150,781.0,813533146.25,5171361.0,6621.0,0.0055
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-12,wce_long,26000,34.15,13556,257425,5307.0,8823562687.5,30090931.0,5670.0,0.0005
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-12,wpe_long,23450,34.6,86,8450,52.0,50491668.75,193414.0,3720.0,0.1151
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-13,ce_short,25700,63.75,13702,49650,5917.0,8818953652.5,56777662.0,9596.0,0.0004
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-13,pe_short,23750,39.2,4408,25900,2370.0,2626356320.0,11231584.0,4739.0,0.0025
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-13,wce_long,26000,34.5,32632,255225,11405.0,21230724958.75,73177260.0,6416.0,0.0002
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-13,wpe_long,23450,24.55,3215,10650,1233.0,1888699971.25,5130336.0,4161.0,0.0043
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-16,ce_short,25700,68.55,3360,51325,1795.0,2164799336.25,14971320.0,8341.0,0.0016
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-16,pe_short,23750,38.5,897,26625,414.0,533563158.75,2244742.0,5422.0,0.0127
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-16,wce_long,26000,36.4,16602,247400,6129.0,10807036397.5,39280332.0,6409.0,0.0004
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-16,wpe_long,23450,23.4,578,10000,236.0,339237223.75,879138.0,3725.0,0.0253
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-17,ce_short,25700,44.1,5271,65300,2147.0,3393263136.25,15109322.0,7037.0,0.0016
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-17,pe_short,23750,60.1,2587,28475,862.0,1540067031.25,10106116.0,11724.0,0.0028
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-17,wce_long,26000,25.6,22640,280325,9352.0,14731995143.75,37672960.0,4028.0,0.0004
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-17,wpe_long,23450,32.9,807,10925,348.0,473834957.5,1725770.0,4959.0,0.0129
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-18,ce_short,25700,39.45,4619,64600,1995.0,2971945958.75,11844271.0,5937.0,0.002
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-18,pe_short,23750,103.85,3917,23100,2056.0,2335422328.75,26440729.0,12860.0,0.0011
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-18,wce_long,26000,24.7,21804,342375,9177.0,14184627417.5,35006322.0,3815.0,0.0005
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-18,wpe_long,23450,53.8,1961,15600,837.0,1152177708.75,6857617.0,8193.0,0.0032
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-19,ce_short,25700,16.45,7116,88300,3344.0,4575531340.0,7608783.0,2275.0,0.0032
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-19,pe_short,23750,189.25,8277,30400,4602.0,4956674273.75,101817446.0,22125.0,0.0003
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-19,wce_long,26000,11.95,37523,492275,11112.0,24403925163.75,29145990.0,2623.0,0.0006
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-19,wpe_long,23450,101.95,3821,37225,1903.0,2250766025.0,25320812.0,13306.0,0.0009
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-20,ce_short,25700,10.0,15749,159275,6002.0,10123171111.25,10236850.0,1706.0,0.0023
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-20,pe_short,23750,338.85,26352,41800,16465.0,15809118618.75,580409388.0,35251.0,0.0
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-20,wce_long,26000,7.85,42963,427825,12178.0,27935596105.0,21921871.0,1800.0,0.0007
1,FINNIFTY,2024-12-09,2024-12-31,2024-12-20,wpe_long,23450,193.75,6647,38675,4327.0,3920659241.25,83710656.0,19346.0,0.0003
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-08,ce_short,24150,109.15,1727,12125,1253.0,1047608591.25,12252633.0,9779.0,0.0027
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-08,pe_short,22300,69.05,1053,26600,561.0,589316692.5,4726127.0,8424.0,0.0044
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-08,wce_long,24450,63.7,511,14600,309.0,313110113.75,2115796.0,6847.0,0.0106
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-08,wpe_long,22000,41.1,22813,92075,9085.0,12576022962.5,60944930.0,6708.0,0.0002
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-09,ce_short,24150,79.25,489,12950,282.0,296208147.5,2518961.0,8932.0,0.013
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-09,pe_short,22300,99.1,1994,28600,997.0,1117084038.75,12844351.0,12883.0,0.0016
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-09,wce_long,24450,45.4,902,11950,531.0,552396433.75,2661802.0,5013.0,0.0084
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-09,wpe_long,22000,58.55,10567,99675,4304.0,5827996115.0,40215360.0,9344.0,0.0004
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-10,ce_short,24150,38.65,977,18675,541.0,591074322.5,2454468.0,4537.0,0.0133
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-10,pe_short,22300,177.45,3526,30175,2219.0,1978881606.25,40669766.0,18328.0,0.0005
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-10,wce_long,24450,20.45,278,10400,111.0,170147792.5,369532.0,3329.0,0.0605
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-10,wpe_long,22000,108.6,26836,131750,10565.0,14823990531.25,189435324.0,17930.0,0.0001
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-13,ce_short,24150,21.6,819,19150,310.0,495039533.75,1149876.0,3709.0,0.0284
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-13,pe_short,22300,268.3,6598,34100,3918.0,3720051946.25,115065821.0,29369.0,0.0002
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-13,wce_long,24450,13.95,289,10950,88.0,176771687.5,262051.0,2978.0,0.0853
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-13,wpe_long,22000,168.15,29398,159900,13663.0,16281627118.75,321312790.0,23517.0,0.0
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-14,ce_short,24150,30.3,453,19075,238.0,273839052.5,892184.0,3749.0,0.0366
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-14,pe_short,22300,134.0,3359,38500,2038.0,1886357573.75,29256890.0,14356.0,0.0007
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-14,wce_long,24450,19.55,688,12475,213.0,420871506.25,874276.0,4105.0,0.0256
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-14,wpe_long,22000,78.95,11068,164925,5197.0,6113831113.75,56798209.0,10929.0,0.0003
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-15,ce_short,24150,24.1,233,19950,101.0,140816337.5,364994.0,3614.0,0.0894
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-15,pe_short,22300,143.05,4396,44675,2897.0,2467187173.75,40875107.0,14109.0,0.0005
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-15,wce_long,24450,14.2,119,12100,59.0,72783830.0,109837.0,1862.0,0.2036
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-15,wpe_long,22000,79.7,18724,170300,7591.0,10336729535.0,96999682.0,12778.0,0.0001
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-16,ce_short,24150,34.45,833,21150,304.0,503648690.0,1865295.0,6136.0,0.0175
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-16,pe_short,22300,79.85,4107,44350,1604.0,2297960325.0,21316357.0,13289.0,0.001
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-16,wce_long,24450,19.7,619,11225,190.0,378686520.0,792630.0,4172.0,0.0282
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-16,wpe_long,22000,44.8,15335,118500,5156.0,8451036051.25,44655520.0,8661.0,0.0003
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-17,ce_short,24150,18.0,1943,36225,568.0,1173969522.5,2273310.0,4002.0,0.0144
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-17,pe_short,22300,153.2,7162,48150,4319.0,4020415007.5,71319196.0,16513.0,0.0003
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-17,wce_long,24450,11.35,758,13750,210.0,463548798.75,559214.0,2663.0,0.04
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-17,wpe_long,22000,84.65,17870,130100,7964.0,9867949458.75,98325208.0,12346.0,0.0001
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-20,ce_short,24150,26.0,1218,32775,492.0,736070276.25,2058420.0,4184.0,0.0159
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-20,pe_short,22300,77.4,6494,57900,3256.0,3635160413.75,32671314.0,10034.0,0.0006
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-20,wce_long,24450,14.45,330,13650,168.0,201830255.0,309952.0,1845.0,0.0721
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-20,wpe_long,22000,42.9,19133,122575,7459.0,10548311802.5,53352370.0,7153.0,0.0003
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-21,ce_short,24150,13.15,1063,32450,381.0,642207635.0,908599.0,2385.0,0.0359
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-21,pe_short,22300,150.7,7457,52450,4121.0,4180688211.25,73045044.0,17725.0,0.0003
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-21,wce_long,24450,7.6,303,12150,124.0,185285766.25,149682.0,1207.0,0.1494
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-21,wpe_long,22000,81.85,17392,127400,6675.0,9596419197.5,92529788.0,13862.0,0.0002
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-22,ce_short,24150,8.4,1359,33825,470.0,820835636.25,742014.0,1579.0,0.044
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-22,pe_short,22300,94.75,18028,94250,10242.0,10122753820.0,111029945.0,10841.0,0.0002
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-22,wce_long,24450,4.5,216,11975,106.0,132060408.75,63180.0,596.0,0.3539
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-22,wpe_long,22000,46.55,31762,134525,13262.0,17539117355.0,96103872.0,7247.0,0.0002
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-23,ce_short,24150,4.45,293,33575,134.0,176944826.25,84750.0,632.0,0.3851
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-23,pe_short,22300,84.55,12965,97125,5929.0,7259961795.0,71252399.0,12018.0,0.0003
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-23,wce_long,24450,3.05,86,11350,49.0,52576268.75,17050.0,348.0,1.3114
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-23,wpe_long,22000,35.65,24947,140075,9534.0,13748573000.0,57808436.0,6063.0,0.0002
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-24,ce_short,24150,2.6,767,32775,258.0,463130007.5,129623.0,502.0,0.2518
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-24,pe_short,22300,107.35,31691,95450,19726.0,17743682662.5,221131875.0,11210.0,0.0001
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-24,wce_long,24450,2.2,190,11325,42.0,116149603.75,27170.0,647.0,0.8229
