entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,margin_required_inr,margin_pct_of_capital,exit_reason,month,year
2023-08-14,2023-08-29,2023-08-29,19652.5,20050,19250,20200,19100,68.6,89.62,36.11,107.2,0.0,0.0,0.0,0.0,14.91,0.0,14.91,40,5,2982.2,135.089,27017.799999999996,238578.0,119.3,EXPIRY,2023-08,2023
2023-12-12,2023-12-14,2023-12-26,21173.2,21600,20750,21750,20600,81.49,76.44,86.75,44.17,172.3,81.95,108.0,14.35,27.01,134.54,-107.53,40,5,-21505.6,122.98999999999998,24597.999999999996,261796.6,130.9,SL,2023-12,2023
2024-12-09,2024-12-31,2024-12-31,24722.6,25200,24250,25350,24100,196.39,181.84,159.94,154.63,0.0,737.2,0.0,587.2,63.66,153.0,-89.34,65,5,-29034.52,86.33699999999999,28059.524999999998,444187.9,222.1,EXPIRY,2024-12,2024
2025-01-08,2025-01-28,2025-01-28,23236.0,23700,22750,23850,22600,227.65,150.09,187.07,119.95,0.0,0.0,0.0,0.0,70.72,0.0,70.72,65,5,22984.33,79.279,25765.675,413491.0,206.7,EXPIRY,2025-01,2025
2025-02-10,2025-02-25,2025-02-25,23400.3,23850,22950,24000,22800,168.85,145.48,144.23,106.9,0.0,0.0,0.0,0.0,63.21,0.0,63.21,65,5,20543.58,86.78899999999999,28206.424999999996,435524.7,217.8,EXPIRY,2025-02,2025
2025-03-10,2025-03-24,2025-03-25,23056.8,23500,22600,23650,22450,133.08,129.41,107.66,109.96,1596.95,3.15,1460.25,2.75,44.88,139.84,-94.97,65,5,-30863.95,105.12399999999997,34165.299999999996,438679.47,219.3,SL,2025-03,2025
2025-04-08,2025-04-24,2025-04-24,24301.5,24800,23800,24950,23650,274.35,243.63,226.13,216.44,1505.65,0.0,1355.65,0.0,75.4,153.0,-77.6,65,5,-25219.67,74.59899999999993,24244.674999999977,393192.15,196.6,EXPIRY,2025-04,2025
2025-05-08,2025-05-29,2025-05-29,25980.7,26500,25450,26650,25300,230.64,297.97,208.13,279.02,0.0,0.0,0.0,0.0,41.46,0.0,41.46,65,5,13474.5,108.54000000000008,35275.50000000002,415723.1,207.9,EXPIRY,2025-05,2025
2025-06-09,2025-06-26,2025-06-26,26992.8,27550,26450,27700,26300,168.66,150.09,137.09,124.59,0.0,0.0,0.0,0.0,57.06,0.0,57.06,65,5,18545.8,92.93600000000004,30204.20000000001,511653.67,255.8,EXPIRY,2025-06,2025
2025-07-10,2025-07-31,2025-07-31,26984.3,27500,26450,27650,26300,151.07,105.11,114.39,83.59,0.0,0.0,0.0,0.0,58.19,0.0,58.19,65,5,18911.75,91.81,29838.25,531803.35,265.9,EXPIRY,2025-07,2025
2025-10-14,2025-10-28,2025-10-28,26828.3,27350,26300,27500,26150,87.95,80.07,62.63,61.25,103.95,0.0,0.0,0.0,44.14,106.03,-61.89,65,5,-20113.28,105.85799999999998,34403.84999999999,552571.82,276.3,EXPIRY,2025-10,2025
2025-11-10,2025-11-25,2025-11-25,27305.0,27850,26750,28000,26600,124.17,82.96,87.67,66.66,0.0,0.0,0.0,0.0,52.8,0.0,52.8,65,5,17159.02,97.20300000000003,31590.97500000001,553174.05,276.6,EXPIRY,2025-11,2025
2026-01-12,2026-01-27,2026-01-27,27518.5,28050,26950,28200,26800,92.71,76.88,64.41,45.59,0.0,0.0,0.0,0.0,59.58,0.0,59.58,60,5,17874.6,90.418,27125.4,527997.9,264.0,EXPIRY,2026-01,2026
2026-02-09,2026-02-24,2026-02-24,28154.0,28700,27600,28850,27450,89.13,97.22,64.16,79.46,0.0,0.0,0.0,0.0,42.73,0.0,42.73,60,5,12819.3,107.26900000000003,32180.700000000008,531175.2,265.6,EXPIRY,2026-02,2026
2026-05-08,2026-05-26,2026-05-26,26011.5,26550,25500,26700,25350,278.81,228.73,214.81,217.16,0.0,0.0,0.0,0.0,75.57,0.0,75.57,60,5,22671.6,74.428,22328.399999999998,401319.0,200.7,EXPIRY,2026-05,2026
