trade_idx,underlying,entry_date,expiry,date,leg,strike,close,volume,oi,num_trades,notional_lakh,traded_value_inr,avg_trade_inr,our_share_of_traded
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-20,ce_short,19900,11.25,23003,200800,,183183.47,10351350.0,,0.0002
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-20,pe_short,19100,15.2,25235,161840,,193073.0,15342880.0,,0.0002
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-20,wce_long,20050,5.5,2523,29960,,20239.93,555060.0,,0.002
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-20,wpe_long,18950,8.8,4714,34440,,35761.76,1659328.0,,0.0011
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-21,ce_short,19900,22.9,209921,507160,,1673038.12,192287636.0,,0.0
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-21,pe_short,19100,12.3,77548,422560,,592876.09,38153616.0,,0.0001
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-21,wce_long,20050,7.4,67595,370520,,542377.07,20008120.0,,0.0001
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-21,wpe_long,18950,8.15,20716,61600,,157094.77,6753416.0,,0.0003
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-22,ce_short,19900,9.05,364958,1155000,,2907694.19,132114796.0,,0.0
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-22,pe_short,19100,6.3,114145,459800,,872425.29,28764540.0,,0.0001
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-22,wce_long,20050,2.6,121356,577960,,973536.56,12621024.0,,0.0001
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-22,wpe_long,18950,3.85,29771,165160,,225724.3,4584734.0,,0.0004
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-23,ce_short,19900,2.55,1205589,1791840,,9598504.55,122970078.0,,0.0
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-23,pe_short,19100,3.55,405982,632520,,3102448.85,57649444.0,,0.0001
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-23,wce_long,20050,1.15,287348,1280560,,2304724.65,13218008.0,,0.0001
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-23,wpe_long,18950,2.05,164547,272040,,1247448.05,13492854.0,,0.0001
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-26,ce_short,19900,1.2,741016,2902440,,5898951.34,35568768.0,,0.0001
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-26,pe_short,19100,1.5,487637,1455000,,3725877.83,29258220.0,,0.0001
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-26,wce_long,20050,1.0,180015,747800,,1443803.48,7200600.0,,0.0002
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-26,wpe_long,18950,1.2,108836,302160,,825032.45,5224128.0,,0.0003
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-27,ce_short,19900,0.2,3697932,4934000,,29436853.36,29583456.0,,0.0001
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-27,pe_short,19100,0.15,687609,1912200,,5253529.89,4125654.0,,0.0007
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-27,wce_long,20050,0.15,266176,483920,,2134782.43,1597056.0,,0.0007
0,FINNIFTY,2023-06-20,2023-06-27,2023-06-27,wpe_long,18950,0.1,167955,706480,,1273140.71,671820.0,,0.0027
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-18,ce_short,20650,47.6,10767,48120,,89215.73,20500368.0,,0.0005
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-18,pe_short,19850,35.4,5520,27040,,43918.56,7816320.0,,0.0009
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-18,wce_long,20800,28.0,19005,89640,,158399.25,21285600.0,,0.0003
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-18,wpe_long,19700,22.2,13551,109920,,106914.14,12033288.0,,0.0004
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-19,ce_short,20650,41.2,50637,115160,,419096.07,83449776.0,,0.0001
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-19,pe_short,19850,17.9,32342,102240,,257128.72,23156872.0,,0.0003
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-19,wce_long,20800,20.0,82273,287040,,685202.59,65818400.0,,0.0001
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-19,wpe_long,19700,11.4,44776,247960,,353108.56,20417856.0,,0.0002
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-20,ce_short,20650,86.35,144342,304080,,1195596.28,498557268.0,,0.0
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-20,pe_short,19850,6.15,72366,340480,,574874.79,17802036.0,,0.0004
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-20,wce_long,20800,38.3,212078,618560,,1766766.93,324903496.0,,0.0
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-20,wpe_long,19700,4.8,141003,838880,,1111469.79,27072576.0,,0.0002
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-21,ce_short,20650,69.15,1237030,886760,,10260542.9,3421624980.0,,0.0
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-21,pe_short,19850,4.75,169366,528520,,1345160.9,32179540.0,,0.0002
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-21,wce_long,20800,28.2,1587331,1512520,,13230610.97,1790509368.0,,0.0
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-21,wpe_long,19700,2.7,329612,1167600,,2597852.67,35598096.0,,0.0001
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-24,ce_short,20650,22.95,3110846,2852360,,25747214.79,2855756628.0,,0.0
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-24,pe_short,19850,1.6,281496,615440,,2235304.5,18015744.0,,0.0004
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-24,wce_long,20800,4.9,3205124,3590760,,26683399.31,628204304.0,,0.0
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-24,wpe_long,19700,1.15,344660,1055440,,2716113.21,15854360.0,,0.0003
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-25,ce_short,20650,0.3,13128099,5004680,,108481706.83,157537188.0,,0.0001
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-25,pe_short,19850,0.1,195517,476320,,1552457.38,782068.0,,0.0089
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-25,wce_long,20800,0.15,4849582,3233440,,40352671.12,29097492.0,,0.0002
1,FINNIFTY,2023-07-18,2023-07-25,2023-07-25,wpe_long,19700,0.05,347417,975280,,2737724.6,694834.0,,0.0065
2,FINNIFTY,2023-09-18,2023-09-26,2023-09-18,ce_short,20800,23.65,22768,262200,,189674.76,21538528.0,,0.0002
2,FINNIFTY,2023-09-18,2023-09-26,2023-09-18,pe_short,20000,21.8,18979,176480,,151990.47,16549688.0,,0.0003
2,FINNIFTY,2023-09-18,2023-09-26,2023-09-18,wce_long,20950,12.8,1637,11760,,13726.73,838144.0,,0.0031
2,FINNIFTY,2023-09-18,2023-09-26,2023-09-18,wpe_long,19850,13.6,1712,27600,,13602.43,931328.0,,0.003
2,FINNIFTY,2023-09-18,2023-09-26,2023-09-20,ce_short,20800,5.05,80722,417960,,671864.92,16305844.0,,0.0003
2,FINNIFTY,2023-09-18,2023-09-26,2023-09-20,pe_short,20000,64.7,224998,388440,,1805450.92,582294824.0,,0.0
2,FINNIFTY,2023-09-18,2023-09-26,2023-09-20,wce_long,20950,3.9,17654,86800,,147981.18,2754024.0,,0.0009
2,FINNIFTY,2023-09-18,2023-09-26,2023-09-20,wpe_long,19850,31.7,69880,162080,,555766.95,88607840.0,,0.0
2,FINNIFTY,2023-09-18,2023-09-26,2023-09-21,ce_short,20800,1.65,115768,628960,,963309.26,7640688.0,,0.0006
2,FINNIFTY,2023-09-18,2023-09-26,2023-09-21,pe_short,20000,187.3,617104,476200,,4966473.73,4623343168.0,,0.0
2,FINNIFTY,2023-09-18,2023-09-26,2023-09-21,wce_long,20950,1.45,20957,92120,,175639.32,1215506.0,,0.0021
2,FINNIFTY,2023-09-18,2023-09-26,2023-09-21,wpe_long,19850,96.45,547873,380040,,4366392.96,2113694034.0,,0.0
3,FINNIFTY,2023-10-19,2023-10-31,2023-10-19,ce_short,20000,53.15,3511,36360,,28165.76,7464386.0,,0.0014
3,FINNIFTY,2023-10-19,2023-10-31,2023-10-19,pe_short,19200,41.15,1806,50000,,13899.15,2972676.0,,0.0027
3,FINNIFTY,2023-10-19,2023-10-31,2023-10-19,wce_long,20150,28.5,97,1080,,783.11,110580.0,,0.0526
3,FINNIFTY,2023-10-19,2023-10-31,2023-10-19,wpe_long,19050,21.95,266,4440,,2029.34,233548.0,,0.0192
3,FINNIFTY,2023-10-19,2023-10-31,2023-10-20,ce_short,20000,39.2,4543,55200,,36419.86,7123424.0,,0.0015
3,FINNIFTY,2023-10-19,2023-10-31,2023-10-20,pe_short,19200,35.9,5583,105000,,42959.23,8017188.0,,0.001
3,FINNIFTY,2023-10-19,2023-10-31,2023-10-20,wce_long,20150,18.35,318,6600,,2565.61,233412.0,,0.0249
3,FINNIFTY,2023-10-19,2023-10-31,2023-10-20,wpe_long,19050,21.1,453,7880,,3455.56,382332.0,,0.0117
3,FINNIFTY,2023-10-19,2023-10-31,2023-10-23,ce_short,20000,14.3,32628,174440,,261294.98,18663216.0,,0.0006
3,FINNIFTY,2023-10-19,2023-10-31,2023-10-23,pe_short,19200,81.35,28810,206560,,221833.24,93747740.0,,0.0001
3,FINNIFTY,2023-10-19,2023-10-31,2023-10-23,wce_long,20150,8.5,4730,23080,,38140.68,1608200.0,,0.0036
3,FINNIFTY,2023-10-19,2023-10-31,2023-10-23,wpe_long,19050,52.65,3538,18440,,27008.51,7451028.0,,0.0006
3,FINNIFTY,2023-10-19,2023-10-31,2023-10-25,ce_short,20000,6.3,133096,424440,,1065251.55,33540192.0,,0.0003
3,FINNIFTY,2023-10-19,2023-10-31,2023-10-25,pe_short,19200,123.2,274811,475440,,2121336.08,1354268608.0,,0.0
3,FINNIFTY,2023-10-19,2023-10-31,2023-10-25,wce_long,20150,4.7,24969,69920,,201304.98,4694172.0,,0.0012
