trade_idx,entry_date,exit_date,expiry,spot_at_entry,lot_size,lots,qty_per_leg,exit_reason,phase,leg,action,strike,price,qty,value_inr,margin_required_inr
0,2023-06-20,2023-06-27,2023-06-27,19502.9,40,1,40,EXPIRY,ENTRY,ce_short,SELL,20000,6.81,40,-272.4,52619.6
0,2023-06-20,2023-06-27,2023-06-27,19502.9,40,1,40,EXPIRY,ENTRY,pe_short,SELL,19000,10.29,40,-411.6,52619.6
0,2023-06-20,2023-06-27,2023-06-27,19502.9,40,1,40,EXPIRY,ENTRY,wce_long,BUY,20150,3.59,40,143.6,52619.6
0,2023-06-20,2023-06-27,2023-06-27,19502.9,40,1,40,EXPIRY,ENTRY,wpe_long,BUY,18850,6.92,40,276.8,52619.6
0,2023-06-20,2023-06-27,2023-06-27,19502.9,40,1,40,EXPIRY,EXIT,ce_short,BUY,20000,0.0,40,0.0,52619.6
0,2023-06-20,2023-06-27,2023-06-27,19502.9,40,1,40,EXPIRY,EXIT,pe_short,BUY,19000,0.0,40,0.0,52619.6
0,2023-06-20,2023-06-27,2023-06-27,19502.9,40,1,40,EXPIRY,EXIT,wce_long,SELL,20150,0.0,40,-0.0,52619.6
0,2023-06-20,2023-06-27,2023-06-27,19502.9,40,1,40,EXPIRY,EXIT,wpe_long,SELL,18850,0.0,40,-0.0,52619.6
1,2023-07-18,2023-07-25,2023-07-25,20262.6,40,1,40,EXPIRY,ENTRY,ce_short,SELL,20750,31.8,40,-1272.0,53576.0
1,2023-07-18,2023-07-25,2023-07-25,20262.6,40,1,40,EXPIRY,ENTRY,pe_short,SELL,19750,24.89,40,-995.6,53576.0
1,2023-07-18,2023-07-25,2023-07-25,20262.6,40,1,40,EXPIRY,ENTRY,wce_long,BUY,20900,20.44,40,817.6,53576.0
1,2023-07-18,2023-07-25,2023-07-25,20262.6,40,1,40,EXPIRY,ENTRY,wpe_long,BUY,19600,17.16,40,686.4,53576.0
1,2023-07-18,2023-07-25,2023-07-25,20262.6,40,1,40,EXPIRY,EXIT,ce_short,BUY,20750,0.0,40,0.0,53576.0
1,2023-07-18,2023-07-25,2023-07-25,20262.6,40,1,40,EXPIRY,EXIT,pe_short,BUY,19750,0.0,40,0.0,53576.0
1,2023-07-18,2023-07-25,2023-07-25,20262.6,40,1,40,EXPIRY,EXIT,wce_long,SELL,20900,0.0,40,-0.0,53576.0
1,2023-07-18,2023-07-25,2023-07-25,20262.6,40,1,40,EXPIRY,EXIT,wpe_long,SELL,19600,0.0,40,-0.0,53576.0
2,2023-08-22,2023-08-29,2023-08-29,19551.8,40,1,40,EXPIRY,ENTRY,ce_short,SELL,20050,7.2,40,-288.0,52691.2
2,2023-08-22,2023-08-29,2023-08-29,19551.8,40,1,40,EXPIRY,ENTRY,pe_short,SELL,19050,12.15,40,-486.0,52691.2
2,2023-08-22,2023-08-29,2023-08-29,19551.8,40,1,40,EXPIRY,ENTRY,wce_long,BUY,20200,4.06,40,162.4,52691.2
2,2023-08-22,2023-08-29,2023-08-29,19551.8,40,1,40,EXPIRY,ENTRY,wpe_long,BUY,18900,8.06,40,322.4,52691.2
2,2023-08-22,2023-08-29,2023-08-29,19551.8,40,1,40,EXPIRY,EXIT,ce_short,BUY,20050,0.0,40,0.0,52691.2
2,2023-08-22,2023-08-29,2023-08-29,19551.8,40,1,40,EXPIRY,EXIT,pe_short,BUY,19050,0.0,40,0.0,52691.2
2,2023-08-22,2023-08-29,2023-08-29,19551.8,40,1,40,EXPIRY,EXIT,wce_long,SELL,20200,0.0,40,-0.0,52691.2
2,2023-08-22,2023-08-29,2023-08-29,19551.8,40,1,40,EXPIRY,EXIT,wpe_long,SELL,18900,0.0,40,-0.0,52691.2
3,2023-11-21,2023-11-28,2023-11-28,19612.1,40,1,40,EXPIRY,ENTRY,ce_short,SELL,20100,9.02,40,-360.8,52870.8
3,2023-11-21,2023-11-28,2023-11-28,19612.1,40,1,40,EXPIRY,ENTRY,pe_short,SELL,19100,8.72,40,-348.8,52870.8
3,2023-11-21,2023-11-28,2023-11-28,19612.1,40,1,40,EXPIRY,ENTRY,wce_long,BUY,20250,4.84,40,193.6,52870.8
3,2023-11-21,2023-11-28,2023-11-28,19612.1,40,1,40,EXPIRY,ENTRY,wpe_long,BUY,18950,6.19,40,247.6,52870.8
3,2023-11-21,2023-11-28,2023-11-28,19612.1,40,1,40,EXPIRY,EXIT,ce_short,BUY,20100,0.0,40,0.0,52870.8
3,2023-11-21,2023-11-28,2023-11-28,19612.1,40,1,40,EXPIRY,EXIT,pe_short,BUY,19100,0.0,40,0.0,52870.8
