entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,margin_required_inr,margin_pct_of_capital,exit_reason,month,year,running_pnl,equity,roi_pct,peak,drawdown_pct
2023-06-20,2023-06-27,2023-06-27,19502.9,20000,19000,20150,18850,6.81,10.29,3.59,6.92,0.0,0.0,0.0,0.0,6.6,0.0,6.6,40,8,2112.0,143.403,45888.96,420956.8,42.1,EXPIRY,2023-06,2023,2112.0,1002112.0,0.2112,1002112.0,0.0
2023-07-18,2023-07-25,2023-07-25,20262.6,20750,19750,20900,19600,31.8,24.89,20.44,17.16,0.0,0.0,0.0,0.0,19.1,0.0,19.1,40,8,6112.0,130.90300000000002,41888.96000000001,428608.0,42.86,EXPIRY,2023-07,2023,8224.0,1008224.0,0.8224,1008224.0,0.0
2023-08-22,2023-08-29,2023-08-29,19551.8,20050,19050,20200,18900,7.2,12.15,4.06,8.06,0.0,0.0,0.0,0.0,7.24,0.0,7.24,40,8,2316.8,142.761,45683.52,421529.6,42.15,EXPIRY,2023-08,2023,10540.8,1010540.8,1.0541,1010540.8,0.0
2023-11-21,2023-11-28,2023-11-28,19612.1,20100,19100,20250,18950,9.02,8.72,4.84,6.19,0.0,0.0,0.0,0.0,6.71,0.0,6.71,40,8,2147.2,143.286,45851.520000000004,422966.4,42.3,EXPIRY,2023-11,2023,12688.0,1012688.0,1.2688,1012688.0,0.0
2023-12-19,2023-12-26,2023-12-26,21434.4,21950,20900,22100,20750,17.69,12.54,10.76,8.68,0.0,0.0,0.0,0.0,10.79,0.0,10.79,40,8,3452.7999999999997,139.215,44548.8,459987.2,46.0,EXPIRY,2023-12,2023,16140.8,1016140.8,1.6141,1016140.8,0.0
2024-01-23,2024-01-30,2024-01-30,20137.1,20650,19650,20800,19500,52.14,59.44,41.03,45.24,0.0,0.0,0.0,0.0,25.31,0.0,25.31,40,8,8099.2,124.695,39902.399999999994,410857.6,41.09,EXPIRY,2024-01,2024,24240.0,1024240.0,2.424,1024240.0,0.0
2024-02-20,2024-02-27,2024-02-27,20800.8,21300,20300,21450,20150,45.37,50.18,30.47,35.88,0.0,0.0,0.0,0.0,29.2,0.0,29.2,40,8,9344.0,120.802,38656.64,431376.0,43.14,EXPIRY,2024-02,2024,33584.0,1033584.0,3.3584,1033584.0,0.0
2024-03-19,2024-03-26,2024-03-26,20602.0,21100,20100,21250,19950,24.11,27.78,14.04,16.48,0.0,0.0,0.0,0.0,21.37,0.0,21.37,40,8,6838.400000000001,128.63299999999998,41162.56,438489.6,43.85,EXPIRY,2024-03,2024,40422.4,1040422.4,4.0422,1040422.4,0.0
2024-04-23,2024-04-30,2024-04-30,21334.2,21850,20800,22000,20650,15.97,26.56,9.62,20.49,0.0,0.0,0.0,0.0,12.42,0.0,12.42,40,8,3974.4,137.576,44024.32,454396.8,45.44,EXPIRY,2024-04,2024,44396.8,1044396.8,4.4397,1044396.8,0.0
2024-05-21,2024-05-28,2024-05-28,21438.2,21950,20900,22100,20750,25.28,19.8,14.46,13.73,32.15,0.0,0.0,0.0,16.9,33.11,-16.22,40,8,-5190.4,133.104,42593.280000000006,457187.2,45.72,EXPIRY,2024-05,2024,39206.4,1039206.4,3.9206,1044396.8,-0.497
2024-11-27,2024-12-31,2024-12-31,24046.8,24650,23450,24800,23300,251.32,134.8,212.42,117.36,0.0,0.0,0.0,0.0,56.34,0.0,56.34,65,8,29296.800000000003,93.66399999999999,48705.27999999999,678922.4,67.89,EXPIRY,2024-11,2024,68503.20000000001,1068503.2,6.8503,1068503.2,0.0
2025-01-07,2025-01-28,2025-01-28,23430.3,24000,22850,24150,22700,201.93,154.59,169.26,129.64,0.0,44.1,0.0,0.0,57.63,45.42,12.21,65,8,6349.200000000001,92.37200000000007,48033.44000000004,672880.0,67.29,EXPIRY,2025-01,2025,74852.40000000001,1074852.4,7.4852,1074852.4,0.0
2025-01-28,2025-01-30,2025-01-30,22805.9,23400,22250,23550,22100,640.63,12.3,0.88,8.42,0.0,0.0,0.0,0.0,643.62,0.0,643.62,65,8,334682.4,-493.61699999999996,-256680.83999999997,802256.0,80.23,EXPIRY,2025-01,2025,409534.80000000005,1409534.8,40.9535,1409534.8,0.0
2025-02-04,2025-02-25,2025-02-25,23620.7,24200,23050,24350,22900,164.3,153.91,144.72,142.84,0.0,13.95,0.0,0.0,30.65,14.37,16.28,65,8,8465.6,119.35399999999998,62064.079999999994,685848.8,68.58,EXPIRY,2025-02,2025,418000.4,1418000.4,41.8,1418000.4,0.0
2025-02-25,2025-02-27,2025-02-27,23036.0,23600,22450,23750,22300,2.55,3.19,2.24,1.98,0.0,0.0,0.0,0.0,1.52,0.0,1.52,65,8,790.4,148.47899999999998,77209.07999999999,811969.6,81.2,EXPIRY,2025-02,2025,418790.80000000005,1418790.8,41.8791,1418790.8,0.0
2025-03-04,2025-03-25,2025-03-25,23028.5,23600,22450,23750,22300,158.61,128.87,132.34,117.0,1486.0,0.0,1336.0,0.0,38.14,154.5,-116.36,65,8,-60507.2,111.857,58165.64,684507.2,68.45,EXPIRY,2025-03,2025,358283.60000000003,1358283.6,35.8284,1418790.8,-4.2647
2025-05-27,2025-05-29,2025-05-29,26420.8,27100,25750,27250,25600,42.29,31.8,27.66,20.9,0.0,0.0,0.0,0.0,25.52,0.0,25.52,65,8,13270.4,124.48000000000002,64729.600000000006,909136.8,90.91,EXPIRY,2025-05,2025,371554.00000000006,1371554.0,37.1554,1418790.8,-3.3294
2025-06-24,2025-06-26,2025-06-26,26750.4,27400,26100,27550,25950,7.15,10.98,4.58,8.37,0.0,0.0,0.0,0.0,5.18,0.0,5.18,65,8,2693.6,144.818,75305.36,939146.0,93.91,EXPIRY,2025-06,2025,374247.60000000003,1374247.6,37.4248,1418790.8,-3.1395
2025-07-29,2025-07-31,2025-07-31,26700.7,27350,26050,27500,25900,4.9,4.17,3.69,2.91,0.0,0.0,0.0,0.0,2.46,0.0,2.46,65,8,1279.2,147.539,76720.28,940680.0,94.07,EXPIRY,2025-07,2025,375526.80000000005,1375526.8,37.5527,1418790.8,-3.0494
