entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,margin_required_inr,margin_pct_of_capital,exit_reason,month,year,running_pnl,equity,peak,drawdown_pct
2023-05-15,2023-05-25,2023-05-25,18398.8,19300,17500,19800,17000,2.07,7.87,2.07,5.17,0.0,0.0,0.0,0.0,2.69,0.0,2.69,50,1,134.5,497.30899999999997,24865.449999999997,62198.0,31.1,EXPIRY,2023-05,2023,134.5,200134.5,200134.5,0.0
2023-06-19,2023-06-29,2023-06-29,18755.4,19700,17800,20200,17300,2.67,4.92,2.59,3.56,0.0,0.0,0.0,0.0,1.44,0.0,1.44,50,1,72.0,498.5625,24928.125,63442.5,31.7,EXPIRY,2023-06,2023,206.5,200206.5,200206.5,0.0
2023-07-10,2023-07-27,2023-07-27,19355.9,20300,18400,20800,17900,5.75,10.3,3.85,5.75,0.0,0.0,0.0,0.0,6.45,0.0,6.45,50,1,322.5,493.5485,24677.425,65310.0,32.7,EXPIRY,2023-07,2023,529.0,200529.0,200529.0,0.0
2023-08-21,2023-08-31,2023-08-31,19393.6,20350,18400,20850,17900,2.44,3.36,2.24,2.88,0.0,0.0,0.0,0.0,0.68,0.0,0.68,50,1,34.0,499.3215,24966.075,65619.0,32.8,EXPIRY,2023-08,2023,563.0,200563.0,200563.0,0.0
2023-09-04,2023-09-11,2023-09-28,19528.8,20500,18550,21000,18050,7.08,14.12,5.23,10.18,27.0,11.15,6.75,7.4,5.8,26.76,-20.96,50,1,-1048.0,494.204,24710.2,65614.5,32.8,SL,2023-09,2023,-485.0,199515.0,200563.0,-0.5225290806380041
2023-10-09,2023-10-26,2023-10-26,19512.3,20500,18550,21000,18050,4.97,14.21,3.97,8.05,0.0,0.0,0.0,0.0,7.16,0.0,7.16,50,1,358.0,492.8355,24641.775,65784.0,32.9,EXPIRY,2023-10,2023,-127.0,199873.0,200563.0,-0.34403155118341866
2023-10-30,2023-11-29,2023-11-30,19140.9,20100,18200,20600,17700,13.25,28.47,8.11,15.12,62.0,1.35,0.45,1.15,18.49,68.85,-50.36,50,1,-2518.0,481.508,24075.399999999998,63948.5,32.0,SL,2023-10,2023,-2645.0,197355.0,200563.0,-1.5994974147774017
2023-12-18,2023-12-28,2023-12-28,21418.7,22500,20350,23000,19850,5.98,8.0,4.71,5.86,0.0,0.0,0.0,0.0,3.4,0.0,3.4,50,1,170.0,496.596,24829.8,72316.5,36.2,EXPIRY,2023-12,2023,-2475.0,197525.0,200563.0,-1.5147360181090233
2024-01-08,2024-01-25,2024-01-25,21513.0,22600,20450,23100,19950,10.95,18.35,6.27,9.77,0.0,0.0,0.0,0.0,13.26,0.0,13.26,50,1,663.0,486.7405,24337.025,72383.0,36.2,EXPIRY,2024-01,2024,-1812.0,198188.0,200563.0,-1.1841665711023468
2024-01-29,2024-02-29,2024-02-29,21737.6,22800,20650,23300,20150,68.08,61.87,31.85,36.45,0.0,0.0,0.0,0.0,61.64,0.0,61.64,50,1,3082.0,438.36,21918.0,70450.0,35.2,EXPIRY,2024-01,2024,1270.0,201270.0,201270.0,0.0
2024-03-11,2024-03-28,2024-03-28,22332.7,23450,21200,23950,20700,9.61,15.69,5.23,7.7,0.0,0.0,0.0,0.0,12.36,0.0,12.36,50,1,618.0,487.6375,24381.875,75258.5,37.6,EXPIRY,2024-03,2024,1888.0,201888.0,201888.0,0.0
2024-04-01,2024-04-25,2024-04-25,22462.0,23600,21350,24100,20850,11.59,19.37,6.79,10.46,0.0,0.0,0.0,0.0,13.71,0.0,13.71,50,1,685.5,486.292,24314.6,75552.5,37.8,EXPIRY,2024-04,2024,2573.5,202573.5,202573.5,0.0
2024-04-29,2024-05-30,2024-05-30,22643.4,23800,21500,24300,21000,19.92,42.14,10.41,26.45,0.0,0.0,0.0,0.0,25.2,0.0,25.2,50,1,1260.0,474.8035,23740.175,75167.0,37.6,EXPIRY,2024-04,2024,3833.5,203833.5,203833.5,0.0
2024-06-10,2024-06-27,2024-06-27,23259.2,24400,22100,24900,21600,18.91,52.67,10.41,35.42,0.0,0.0,0.0,0.0,25.75,0.0,25.75,50,1,1287.5,474.25149999999996,23712.574999999997,76758.5,38.4,EXPIRY,2024-06,2024,5121.0,205121.0,205121.0,0.0
2024-07-08,2024-07-25,2024-07-25,24320.5,25550,23100,26050,22600,9.43,22.08,5.75,13.45,0.0,0.0,0.0,0.0,12.31,0.0,12.31,50,1,615.5,487.695,24384.75,81745.0,40.9,EXPIRY,2024-07,2024,5736.5,205736.5,205736.5,0.0
2024-08-12,2024-08-29,2024-08-29,24347.0,25550,23150,26050,22650,10.21,41.81,5.46,26.68,0.0,0.0,0.0,0.0,19.88,0.0,19.88,50,1,994.0,480.1165,24005.824999999997,81183.0,40.6,EXPIRY,2024-08,2024,6730.5,206730.5,206730.5,0.0
2024-09-09,2024-09-26,2024-09-26,24936.4,26200,23700,26700,23200,9.29,32.75,5.0,23.69,16.05,0.0,0.0,0.0,13.35,17.9,-4.54,50,1,-227.0,486.6485,24332.425,83395.5,41.7,EXPIRY,2024-09,2024,6503.5,206503.5,206730.5,-0.1098047941643831
