entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,margin_required_inr,margin_pct_of_capital,exit_reason,month,year,running_pnl,equity,roi_pct,peak,drawdown_pct
2023-05-18,2023-05-25,2023-05-25,18129.9,19050,17200,19550,16700,2.07,1.79,1.95,1.84,0.0,0.0,0.0,0.0,0.07,0.0,0.07,50,1,3.5000000000000004,499.931,24996.55,61435.5,30.72,EXPIRY,2023-05,2023,3.5000000000000004,200003.5,0.0018,200003.5,0.0
2023-06-01,2023-06-29,2023-06-29,18487.8,19400,17550,19900,17050,7.45,18.72,6.44,11.21,0.0,0.0,0.0,0.0,8.52,0.0,8.52,50,1,426.0,491.4785,24573.925,61932.5,30.97,EXPIRY,2023-06,2023,429.5,200429.5,0.2148,200429.5,0.0
2023-07-13,2023-07-27,2023-07-27,19413.8,20400,18450,20900,17950,4.0,6.44,2.76,4.37,0.0,0.0,0.0,0.0,3.31,0.0,3.31,50,1,165.5,496.688,24834.399999999998,65688.5,32.84,EXPIRY,2023-07,2023,595.0,200595.0,0.2975,200595.0,0.0
2023-08-10,2023-08-31,2023-08-31,19543.1,20500,18550,21000,18050,7.54,9.38,4.48,6.79,0.0,0.0,0.0,0.0,5.66,0.0,5.66,50,1,283.0,494.342,24717.1,65821.5,32.91,EXPIRY,2023-08,2023,878.0,200878.0,0.439,200878.0,0.0
2023-08-31,2023-09-28,2023-09-28,19253.8,20200,18300,20700,17800,13.94,18.77,6.55,9.72,0.0,0.0,0.0,0.0,16.43,0.0,16.43,50,1,821.5,483.5665,24178.325,64636.5,32.32,EXPIRY,2023-08,2023,1699.5,201699.5,0.8498,201699.5,0.0
2023-09-28,2023-10-26,2023-10-26,19523.6,20500,18550,21000,18050,22.4,32.71,12.48,15.35,0.0,0.0,0.0,0.0,27.28,0.0,27.28,50,1,1364.0,472.722,23636.1,64993.5,32.5,EXPIRY,2023-09,2023,3063.5,203063.5,1.5318,203063.5,0.0
2023-11-02,2023-11-30,2023-11-30,19133.2,20100,18200,20600,17700,9.89,17.76,6.55,10.0,33.2,0.0,0.0,0.0,11.09,37.02,-25.93,50,1,-1296.5,488.914,24445.7,64282.5,32.14,EXPIRY,2023-11,2023,1767.0,201767.0,0.8835,203063.5,-0.6385
2023-12-07,2023-12-28,2023-12-28,20901.2,21950,19850,22450,19350,12.47,13.39,7.13,10.0,0.0,0.0,0.0,0.0,8.72,0.0,8.72,50,1,436.00000000000006,491.283,24564.15,70203.5,35.1,EXPIRY,2023-12,2023,2203.0,202203.0,1.1015,203063.5,-0.4238
2024-01-04,2024-01-25,2024-01-25,21658.6,22750,20600,23250,20100,16.05,20.01,8.51,10.46,0.0,0.0,0.0,0.0,17.09,0.0,17.09,50,1,854.5,482.911,24145.55,72746.5,36.37,EXPIRY,2024-01,2024,3057.5,203057.5,1.5288,203063.5,-0.003
2024-01-25,2024-02-29,2024-02-29,21352.6,22400,20300,22900,19800,66.61,48.12,38.93,24.32,0.0,0.0,0.0,0.0,51.47,0.0,51.47,50,1,2573.5,448.526,22426.3,69427.5,34.71,EXPIRY,2024-01,2024,5631.0,205631.0,2.8155,205631.0,0.0
