symbol,name,current_price,market_cap,pe_ratio,pb_ratio,roe,eps,book_value,beta,peg_ratio,roa,debt_to_equity,current_ratio,quick_ratio,revenue_growth,earnings_growth,operating_margin,net_margin,profit_margin,dividend_yield,volume,sector,market_cap_category,last_updated
NSE:MRF-EQ,MRF LTD,148545.0,7427250.0,14.45,2.55,17.09,,,1.19,,,0.92,,,,,,,,3.41,5719,Technology,large_cap,2025-09-28 10:50:15.419110
NSE:PAGEIND-EQ,PAGE INDUSTRIES LTD,41240.0,2062000.0,20.79,1.19,12.66,,,1.23,,,0.97,,,,,,,,3.38,36267,Technology,large_cap,2025-09-28 08:30:24.597809
NSE:BOSCHLTD-EQ,BOSCH LIMITED,38150.0,1907500.0,20.94,1.53,18.86,,,1.05,,,1.22,,,,,,,,2.57,28075,Technology,large_cap,2025-09-28 10:50:13.125184
NSE:HONAUT-EQ,HONEYWELL AUTOMATION IND,36100.0,1805000.0,17.68,1.5,18.47,,,1.18,,,0.67,,,,,,,,2.92,2573,Technology,large_cap,2025-09-28 10:53:22.439069
NSE:ABBOTINDIA-EQ,ABBOTT INDIA LIMITED,29740.0,1487000.0,16.97,2.53,15.06,,,1.08,,,0.89,,,,,,,,2.23,19046,Technology,large_cap,2025-09-28 10:50:13.935275
NSE:3MINDIA-EQ,3M INDIA LIMITED,29150.0,1457500.0,18.87,1.85,16.39,,,1.15,,,1.2,,,,,,,,2.43,2975,Technology,large_cap,2025-09-28 10:53:22.381238
NSE:SHREECEM-EQ,SHREE CEMENT LIMITED,28910.0,1445500.0,11.84,2.48,13.09,,,1.38,,,0.63,,,,,,,,2.33,20857,Technology,large_cap,2025-09-28 10:50:13.775284
NSE:POWERINDIA-EQ,HITACHI ENERGY INDIA LTD,19109.0,955450.0,10.51,1.78,16.99,,,1.03,,,1.24,,,,,,,,2.58,104379,Technology,large_cap,2025-09-28 08:30:21.653385
NSE:JSWHL-EQ,JSW HOLDINGS LIMITED,18070.0,903500.0,10.7,1.21,19.33,,,1.13,,,1.12,,,,,,,,3.24,1159,Technology,large_cap,2025-09-28 10:53:22.608315
NSE:DIXON-EQ,DIXON TECHNO (INDIA) LTD,17511.0,875550.0,10.79,2.2,14.96,,,1.03,,,0.61,,,,,,,,2.55,233711,Technology,large_cap,2025-09-28 08:29:53.790996
