symbol,start_date,end_date
360ONE,2025-09-30,2099-12-31
ABB,2010-01-01,2099-12-31
ABBOTINDIA,2022-03-31,2099-12-31
ABCAPITAL,2019-02-02,2099-12-31
ABFRL,2010-01-01,2025-09-30
ACC,2010-01-01,2026-05-29
ADANIENSOL,2026-05-29,2099-12-31
ADANIENT,2010-01-01,2019-02-02
ADANIENT,2023-08-03,2099-12-31
ADANIGREEN,2023-08-03,2099-12-31
ADANIPORTS,2010-01-01,2099-12-31
ADANIPOWER,2010-01-01,2099-12-31
ADANITRANS,2023-08-03,2026-05-29
AIAENG,2010-01-01,2019-02-02
AJANTPHARM,2010-01-01,2022-03-31
ALKEM,2010-01-01,2099-12-31
AMARAJABAT,2010-01-01,2022-03-31
AMBUJACEM,2010-01-01,2099-12-31
APLAPOLLO,2026-05-29,2099-12-31
APOLLOHOSP,2010-01-01,2099-12-31
APOLLOTYRE,2010-01-01,2025-09-30
ARVIND,2010-01-01,2019-02-02
ASHOKLEY,2010-01-01,2099-12-31
ASIANPAINT,2010-01-01,2099-12-31
ASTRAL,2023-08-03,2099-12-31
ATGL,2023-08-03,2099-12-31
AUBANK,2018-03-15,2099-12-31
AUROPHARMA,2010-01-01,2099-12-31
AVANTIFEED,2019-02-02,2023-08-03
AWL,2023-08-03,2024-03-28
AXISBANK,2010-01-01,2099-12-31
BAJAJ-AUTO,2010-01-01,2099-12-31
BAJAJFINSV,2010-01-01,2099-12-31
BAJAJHFL,2025-03-31,2099-12-31
BAJAJHLDNG,2023-08-03,2099-12-31
BAJFINANCE,2010-01-01,2099-12-31
BALKRISIND,2010-01-01,2025-03-31
BANDHANBNK,2019-02-02,2025-09-30
BANKBARODA,2010-01-01,2099-12-31
BANKINDIA,2010-01-01,2099-12-31
BATAINDIA,2010-01-01,2024-03-28
BBTC,2019-02-02,2023-08-03
BDL,2026-05-29,2099-12-31
BEL,2010-01-01,2099-12-31
BERGEPAINT,2010-01-01,2026-05-29
BHARATFIN,2010-01-01,2019-02-02
BHARATFORG,2010-01-01,2099-12-31
BHARTIARTL,2010-01-01,2099-12-31
BHEL,2010-01-01,2099-12-31
BIOCON,2010-01-01,2099-12-31
BLUESTARCO,2025-09-30,2099-12-31
BOSCHLTD,2010-01-01,2099-12-31
BPCL,2010-01-01,2099-12-31
BRITANNIA,2010-01-01,2099-12-31
BSE,2026-05-29,2099-12-31
CADILAHC,2010-01-01,2023-08-03
CANBK,2010-01-01,2099-12-31
CASTROLIND,2010-01-01,2022-03-31
CENTRALBK,2010-01-01,2023-08-03
CENTURYTEX,2010-01-01,2019-02-02
CESC,2010-01-01,2018-03-15
CGPOWER,2023-03-31,2099-12-31
CHOLAFIN,2010-01-01,2099-12-31
CIPLA,2010-01-01,2099-12-31
CLEAN,2022-03-31,2023-03-31
COALINDIA,2010-01-01,2099-12-31
COCHINSHIP,2026-05-29,2099-12-31
COFORGE,2023-08-03,2099-12-31
COLPAL,2010-01-01,2099-12-31
CONCOR,2010-01-01,2099-12-31
COROMANDEL,2010-01-01,2024-03-28
COROMANDEL,2025-09-30,2099-12-31
CRISIL,2010-01-01,2019-02-02
CROMPTON,2010-01-01,2024-03-28
CUMMINSIND,2010-01-01,2099-12-31
DABUR,2010-01-01,2099-12-31
DALBHARAT,2023-08-03,2026-05-29
DALMIABHA,2010-01-01,2019-02-02
DBL,2019-02-02,2023-08-03
DEEPAKNTR,2021-03-31,2099-12-31
DELHIVERY,2023-08-03,2025-03-31
DEVYANI,2023-03-31,2026-05-29
DHFL,2010-01-01,2023-08-03
DISHTV,2010-01-01,2023-08-03
DIVISLAB,2010-01-01,2099-12-31
DIXON,2021-03-31,2099-12-31
DLF,2010-01-01,2099-12-31
DMART,2010-01-01,2099-12-31
DRREDDY,2010-01-01,2099-12-31
DUMMYREL,2023-08-03,2026-05-29
DUMMYVEDL1,2026-05-29,2099-12-31
DUMMYVEDL2,2026-05-29,2099-12-31
DUMMYVEDL3,2026-05-29,2099-12-31
DUMMYVEDL4,2026-05-29,2099-12-31
EDELWEISS,2010-01-01,2021-03-31
EICHERMOT,2010-01-01,2099-12-31
EMAMILTD,2010-01-01,2019-02-02
ENDURANCE,2010-01-01,2022-03-31
ENGINERSIN,2010-01-01,2023-08-03
ENRIN,2025-09-30,2099-12-31
ESCORTS,2019-02-02,2025-09-30
ETERNAL,2026-05-29,2099-12-31
EXIDEIND,2010-01-01,2023-08-03
EXIDEIND,2026-05-29,2099-12-31
FCONSUMER,2019-02-02,2023-08-03
FEDERALBNK,2010-01-01,2099-12-31
FLUOROCHEM,2023-03-31,2026-05-29
FORTIS,2010-01-01,2018-03-15
FORTIS,2023-08-03,2099-12-31
FRETAIL,2019-02-02,2021-03-31
GAIL,2010-01-01,2099-12-31
GICRE,2019-02-02,2021-03-31
GLAND,2023-08-03,2026-05-29
GLAXO,2010-01-01,2019-02-02
GLENMARK,2010-01-01,2023-08-03
GLENMARK,2025-03-31,2099-12-31
GMRAIRPORT,2026-05-29,2099-12-31
GMRINFRA,2010-01-01,2023-08-03
GMRINFRA,2024-03-28,2099-12-31
GODFRYPHLP,2025-09-30,2099-12-31
GODREJAGRO,2019-02-02,2023-08-03
GODREJCP,2010-01-01,2099-12-31
GODREJIND,2010-01-01,2022-03-31
GODREJPROP,2023-08-03,2099-12-31
GPPL,2010-01-01,2019-02-02
GRAPHITE,2019-02-02,2023-08-03
GRASIM,2019-02-02,2099-12-31
GROWW,2026-05-29,2099-12-31
GRUH,2010-01-01,2023-08-03
GSKCONS,2010-01-01,2019-02-02
GSPL,2010-01-01,2023-03-31
GUJGASLTD,2023-08-03,2026-05-29
GVT&D,2026-05-29,2099-12-31
HAL,2021-03-31,2099-12-31
HAVELLS,2010-01-01,2099-12-31
HCLTECH,2010-01-01,2099-12-31
HDFC,2010-01-01,2023-08-03
HDFCAMC,2023-08-03,2099-12-31
HDFCBANK,2010-01-01,2099-12-31
HDFCLIFE,2019-02-02,2099-12-31
HEG,2019-02-02,2023-08-03
HEROMOTOCO,2010-01-01,2099-12-31
HEXAWARE,2010-01-01,2023-08-03
HINDALCO,2010-01-01,2099-12-31
HINDPETRO,2010-01-01,2099-12-31
HINDUNILVR,2010-01-01,2099-12-31
HINDZINC,2010-01-01,2099-12-31
HONAUT,2023-08-03,2026-05-29
HUDCO,2010-01-01,2021-03-31
HUDCO,2026-05-29,2099-12-31
HYUNDAI,2025-03-31,2099-12-31
IBULHSGFIN,2010-01-01,2023-08-03
IBVENTURES,2019-02-02,2023-08-03
ICICIAMC,2026-05-29,2099-12-31
ICICIBANK,2010-01-01,2099-12-31
ICICIGI,2019-02-02,2099-12-31
ICICIPRULI,2010-01-01,2025-09-30
IDBI,2010-01-01,2023-08-03
IDBI,2024-03-28,2025-03-31
IDEA,2010-01-01,2099-12-31
IDFC,2010-01-01,2019-02-02
IDFCBANK,2010-01-01,2019-02-02
IDFCFIRSTB,2019-02-02,2099-12-31
IEX,2022-03-31,2023-03-31
IGL,2010-01-01,2026-05-29
INDHOTEL,2010-01-01,2099-12-31
INDIAMART,2021-03-31,2023-03-31
INDIANB,2010-01-01,2099-12-31
INDIGO,2010-01-01,2099-12-31
INDUSINDBK,2010-01-01,2099-12-31
INDUSTOWER,2023-08-03,2099-12-31
INFRATEL,2010-01-01,2023-08-03
INFY,2010-01-01,2099-12-31
IOC,2010-01-01,2099-12-31
IPCALAB,2010-01-01,2019-02-02
IPCALAB,2023-08-03,2026-05-29
IRB,2010-01-01,2019-02-02
IRCTC,2023-08-03,2099-12-31
IREDA,2024-03-28,2099-12-31
IRFC,2023-03-31,2099-12-31
ITC,2010-01-01,2099-12-31
ITCHOTELS,2025-09-30,2099-12-31
JINDALSTEL,2010-01-01,2099-12-31
JIOFIN,2024-03-28,2099-12-31
JSWENERGY,2010-01-01,2099-12-31
JSWINFRA,2024-03-28,2025-03-31
JSWSTEEL,2010-01-01,2099-12-31
JUBILANT,2010-01-01,2023-08-03
JUBLFOOD,2010-01-01,2099-12-31
KALYANKJIL,2024-03-28,2099-12-31
KARURVYSYA,2010-01-01,2019-02-02
KEI,2025-09-30,2099-12-31
KOTAKBANK,2010-01-01,2099-12-31
KPITTECH,2026-05-29,2099-12-31
L&TFH,2010-01-01,2026-05-29
LALPATHLAB,2010-01-01,2019-02-02
LALPATHLAB,2023-08-03,2026-05-29
LAURUSLABS,2021-03-31,2099-12-31
LENSKART,2026-05-29,2099-12-31
LGEINDIA,2026-05-29,2099-12-31
LICHSGFIN,2010-01-01,2099-12-31
LICI,2023-08-03,2026-05-29
LODHA,2026-05-29,2099-12-31
LT,2010-01-01,2099-12-31
LTF,2026-05-29,2099-12-31
LTI,2019-02-02,2023-08-03
LTIM,2023-08-03,2026-05-29
LTM,2026-05-29,2099-12-31
LTTS,2023-08-03,2026-05-29
LUPIN,2010-01-01,2099-12-31
M&M,2010-01-01,2099-12-31
M&MFIN,2010-01-01,2099-12-31
MAHABANK,2024-03-28,2025-09-30
MANAPPURAM,2010-01-01,2023-08-03
MANKIND,2023-08-03,2099-12-31
MARICO,2010-01-01,2099-12-31
MARUTI,2010-01-01,2099-12-31
MAXHEALTH,2022-03-31,2099-12-31
MAZDOCK,2026-05-29,2099-12-31
MCDOWELL-N,2010-01-01,2026-05-29
MCX,2026-05-29,2099-12-31
METROPOLIS,2022-03-31,2099-12-31
MFSL,2010-01-01,2099-12-31
MGL,2010-01-01,2022-03-31
MINDTREE,2010-01-01,2023-08-03
MOTHERSON,2023-08-03,2099-12-31
MOTHERSUMI,2010-01-01,2023-08-03
MOTILALOFS,2025-03-31,2099-12-31
MPHASIS,2010-01-01,2099-12-31
MRF,2010-01-01,2099-12-31
MRPL,2010-01-01,2023-08-03
MSUMI,2023-08-03,2024-03-28
MUTHOOTFIN,2010-01-01,2024-03-28
NATCOPHARM,2010-01-01,2022-03-31
NATIONALUM,2010-01-01,2021-03-31
NATIONALUM,2025-03-31,2099-12-31
NAUKRI,2010-01-01,2099-12-31
NAVINFLUOR,2023-08-03,2024-03-28
NBCC,2010-01-01,2023-08-03
NESTLEIND,2023-08-03,2099-12-31
NHPC,2010-01-01,2099-12-31
NIACL,2019-02-02,2023-08-03
NMDC,2010-01-01,2099-12-31
NTPC,2010-01-01,2099-12-31
NTPCGREEN,2025-03-31,2099-12-31
NYKAA,2022-03-31,2099-12-31
OBEROIRLTY,2010-01-01,2099-12-31
OFSS,2010-01-01,2021-03-31
OFSS,2022-03-31,2099-12-31
OIL,2010-01-01,2099-12-31
OLAELEC,2025-03-31,2025-09-30
ONGC,2010-01-01,2099-12-31
PAGEIND,2010-01-01,2099-12-31
PATANJALI,2026-05-29,2099-12-31
PAYTM,2022-03-31,2099-12-31
PCJEWELLER,2010-01-01,2023-08-03
PEL,2010-01-01,2026-05-29
PERSISTENT,2022-03-31,2099-12-31
PETRONET,2010-01-01,2025-09-30
PFC,2010-01-01,2099-12-31
PGHH,2010-01-01,2024-03-28
PHOENIXLTD,2026-05-29,2099-12-31
PIDILITIND,2010-01-01,2099-12-31
PIIND,2010-01-01,2099-12-31
PNB,2010-01-01,2099-12-31
PNBHOUSING,2010-01-01,2023-08-03
POLICYBZR,2022-03-31,2099-12-31
POLYCAB,2023-08-03,2099-12-31
POONAWALLA,2023-08-03,2025-03-31
POWERGRID,2010-01-01,2099-12-31
POWERINDIA,2025-09-30,2099-12-31
PREMIERENE,2025-03-31,2099-12-31
PRESTIGE,2010-01-01,2099-12-31
QUESS,2019-02-02,2023-08-03
RADICO,2026-05-29,2099-12-31
RAJESHEXPO,2010-01-01,2021-03-31
RAMCOCEM,2010-01-01,2024-03-28
RBLBANK,2010-01-01,2022-03-31
RCOM,2010-01-01,2019-02-02
RECLTD,2010-01-01,2099-12-31
RELCAPITAL,2018-03-15,2023-08-03
